	GSM1867414_sample_table.txt	GSM1867415_sample_table.txt	GSM1867416_sample_table.txt	GSM1867417_sample_table.txt	GSM1867418_sample_table.txt	GSM1867419_sample_table.txt	GSM1867420_sample_table.txt	GSM1867421_sample_table.txt	GSM1867422_sample_table.txt	GSM1867423_sample_table.txt	GSM1867424_sample_table.txt	GSM1867425_sample_table.txt	GSM1867426_sample_table.txt	GSM1867427_sample_table.txt	GSM1867428_sample_table.txt	GSM1867429_sample_table.txt
ILMN_2809167	8.54947	8.54274	8.59821	8.48156	8.53730	8.56848	8.49409	8.51439	8.55724	8.57482	8.51051	8.58533	8.50514	8.51385	8.51940	8.57131
ILMN_2809202	8.44835	8.51784	8.39131	8.44449	8.44591	8.43362	8.44799	8.43760	8.56338	8.45218	8.43801	8.41321	8.43559	8.41694	8.44651	8.46214
ILMN_2809239	12.04819	12.11706	12.02967	12.06383	12.02547	12.13820	12.15164	12.00782	12.04472	11.95673	11.94375	12.08083	12.03526	12.02662	11.96604	12.08765
ILMN_2809247	11.30138	11.25005	11.39324	11.33727	11.32552	11.38806	11.30154	11.22384	11.30704	11.41064	11.23649	11.34859	11.35593	11.35483	11.36882	11.36749
ILMN_2809334	8.43732	8.45758	8.46291	8.43024	8.44856	8.45481	8.55300	8.42374	8.44555	8.42733	8.47317	8.44390	8.45131	8.40691	8.43832	8.43955
ILMN_2809436	9.15252	9.20620	9.34965	9.24631	9.32069	9.25191	9.30370	9.30368	9.21227	9.30374	9.24148	9.29068	9.37673	9.36935	9.25927	9.37751
ILMN_2809443	8.38806	8.36993	8.38890	8.41874	8.32986	8.32216	8.35219	8.31926	8.38184	8.35731	8.33934	8.34037	8.38474	8.36313	8.33194	8.38521
ILMN_2809571	8.47540	8.55268	8.53185	8.48785	8.53310	8.51930	8.52173	8.58105	8.55113	8.53157	8.59603	8.56597	8.55233	8.50546	8.56832	8.50453
ILMN_2809589	8.29315	8.31593	8.30630	8.32306	8.32988	8.32344	8.28881	8.31317	8.29915	8.35859	8.33863	8.30618	8.32554	8.32681	8.30673	8.31805
ILMN_2809611	8.71257	8.94513	8.78941	8.68441	8.84506	8.89459	8.79273	8.86694	8.93124	8.89071	8.74748	8.74994	8.92293	8.77865	8.81972	8.84292
ILMN_2809656	8.43745	8.40177	8.38217	8.39392	8.42973	8.41898	8.40981	8.39418	8.39644	8.36980	8.37754	8.42372	8.42662	8.39942	8.38497	8.39193
ILMN_2809701	8.63116	8.49307	8.54347	8.53067	8.52138	8.51507	8.55231	8.62274	8.53316	8.52900	8.58886	8.54505	8.54088	8.54834	8.49601	8.50168
ILMN_2809768	8.35965	8.35526	8.34167	8.34593	8.39640	8.34595	8.35097	8.34090	8.35781	8.32994	8.40375	8.38311	8.34327	8.34352	8.37734	8.36197
ILMN_2809931	8.36231	8.34783	8.31714	8.32823	8.35274	8.32506	8.33633	8.36680	8.30131	8.37828	8.36397	8.33274	8.33926	8.35850	8.32066	8.36882
ILMN_2809988	9.32912	9.21297	9.28568	9.21803	9.20639	9.22167	9.20904	9.18602	9.13455	9.29416	9.25472	9.16840	9.17691	9.31794	9.29031	9.24624
ILMN_2809998	8.39152	8.35486	8.38514	8.38546	8.34990	8.35836	8.36293	8.37833	8.34536	8.40253	8.33607	8.37075	8.34898	8.36877	8.35559	8.38882
ILMN_2810045	10.65086	10.73759	10.73788	10.87570	10.86051	10.73065	10.93151	10.77293	10.16103	10.23372	10.18470	10.18620	10.22139	10.20163	10.12732	10.17524
ILMN_2810047	9.76215	9.71110	9.83020	9.96005	9.87297	9.82531	9.97417	9.73554	9.32813	9.44027	9.33429	9.25183	9.35063	9.40760	9.29457	9.41679
ILMN_2810296	8.43429	8.42408	8.40373	8.42588	8.44723	8.41844	8.46281	8.45904	8.42335	8.42483	8.42601	8.42182	8.52480	8.49539	8.46211	8.46735
ILMN_2810301	8.30046	8.36509	8.31912	8.31952	8.30870	8.35368	8.32917	8.31468	8.36600	8.32769	8.32611	8.31932	8.35887	8.34010	8.32717	8.35089
ILMN_2810331	9.41428	9.39719	9.35069	9.33781	9.47449	9.35223	9.28886	9.31507	9.49401	9.42105	9.49308	9.32258	9.41891	9.40539	9.39247	9.43206
ILMN_2810405	8.36507	8.36778	8.38665	8.36291	8.41297	8.38227	8.34298	8.41705	8.35135	8.35496	8.40412	8.32565	8.38399	8.34301	8.38003	8.40419
ILMN_2810417	8.29112	8.30847	8.28820	8.33891	8.30765	8.28878	8.29767	8.30350	8.33767	8.30028	8.31385	8.29788	8.30687	8.31006	8.31040	8.34109
ILMN_2810424	8.29158	8.29105	8.32606	8.29626	8.31631	8.29079	8.33426	8.32481	8.30930	8.31744	8.34898	8.36316	8.30094	8.32903	8.31506	8.29907
ILMN_2810443	9.03183	9.02104	9.02845	9.09376	8.99762	9.01519	9.02639	9.08451	9.08952	9.26155	9.04027	9.02182	9.11615	8.92669	8.98337	9.10801
ILMN_2810473	14.08502	13.94435	13.96692	14.08927	13.88652	13.90562	13.93510	13.85526	13.92954	13.88471	13.88462	13.98998	13.91884	14.12688	14.00090	13.80483
ILMN_2810539	8.45081	8.49013	8.44505	8.50215	8.48382	8.47812	8.49695	8.57009	8.61458	8.55112	8.68777	8.55648	8.49672	8.45693	8.50577	8.51976
ILMN_2810624	8.43954	8.38344	8.37905	8.38934	8.36557	8.38417	8.39165	8.33126	8.38063	8.39992	8.42448	8.37242	8.39106	8.40796	8.39271	8.42632
ILMN_2810645	8.40702	8.39336	8.44621	8.39652	8.42715	8.45679	8.45904	8.43536	8.39530	8.44378	8.39686	8.39322	8.40369	8.41069	8.42584	8.43035
ILMN_2810744	8.34894	8.32957	8.35493	8.36641	8.36503	8.34822	8.34515	8.33767	8.31313	8.37362	8.36835	8.32432	8.35047	8.34854	8.35468	8.34469
ILMN_2810827	8.30278	8.35424	8.30726	8.31009	8.30593	8.32649	8.28920	8.31877	8.30814	8.31693	8.31166	8.36024	8.31005	8.31253	8.35144	8.30370
ILMN_2810882	11.24055	11.12330	10.95091	11.23904	11.13230	11.24423	11.12368	11.25706	11.10215	10.99858	11.30982	11.21913	11.04098	11.10714	11.13481	10.96896
ILMN_2810904	8.32847	8.31230	8.34598	8.32988	8.30820	8.30142	8.33284	8.31768	8.32463	8.31095	8.32637	8.33952	8.34747	8.33113	8.33890	8.30051
ILMN_2810937	9.36137	9.12263	9.30667	9.20540	9.18457	9.30098	9.20707	9.30261	9.16892	9.15094	9.12969	9.27024	9.40296	9.17319	9.26460	9.21780
ILMN_2810955	9.11428	9.07113	8.93642	9.04202	9.11668	8.99359	9.04303	9.04388	9.01725	9.06276	9.04507	9.05607	9.08309	9.00353	9.08784	9.13159
ILMN_2810963	9.37806	9.45156	9.48447	9.37262	9.53727	9.48585	9.60079	9.55694	9.49109	9.50514	9.38197	9.47564	9.32829	9.27926	9.55779	9.29321
ILMN_2811018	8.46113	8.40327	8.45690	8.41685	8.45456	8.51108	8.51324	8.40177	8.43519	8.44590	8.47771	8.46356	8.42376	8.43780	8.44357	8.47556
ILMN_2811154	8.32218	8.35382	8.34424	8.36468	8.36007	8.34574	8.34740	8.33195	8.37734	8.34161	8.36622	8.33423	8.34030	8.33779	8.32681	8.33124
ILMN_2811240	8.49905	8.45664	8.49156	8.48709	8.44840	8.43464	8.42559	8.48462	8.42506	8.42726	8.46799	8.47143	8.46622	8.46124	8.49940	8.42651
ILMN_2811263	8.81169	8.93079	8.95700	8.75934	8.99559	8.90061	8.85450	8.89695	8.86991	8.92673	8.78039	8.97565	9.02291	8.90442	8.90458	8.91523
ILMN_2811282	9.39456	9.53593	9.53104	9.51192	9.47539	9.59544	9.55837	9.47217	9.38078	9.55552	9.26829	9.57802	9.41390	9.44941	9.51243	9.58098
ILMN_2811336	8.34006	8.31720	8.33228	8.33155	8.32541	8.34837	8.33626	8.34161	8.34255	8.37091	8.36076	8.35950	8.33731	8.39455	8.36370	8.36467
