	GSM1867414_sample_table.txt	GSM1867415_sample_table.txt	GSM1867416_sample_table.txt	GSM1867417_sample_table.txt	GSM1867418_sample_table.txt	GSM1867419_sample_table.txt	GSM1867420_sample_table.txt	GSM1867421_sample_table.txt	GSM1867422_sample_table.txt	GSM1867423_sample_table.txt	GSM1867424_sample_table.txt	GSM1867425_sample_table.txt	GSM1867426_sample_table.txt	GSM1867427_sample_table.txt	GSM1867428_sample_table.txt	GSM1867429_sample_table.txt
ILMN_1212607	8.36812	8.36196	8.35366	8.34903	8.34109	8.34063	8.32444	8.34297	8.35169	8.34060	8.35202	8.32228	8.37313	8.37831	8.34489	8.33047
ILMN_1212612	9.63021	9.43648	9.65193	9.68973	9.50068	9.54621	9.67729	9.55263	9.53031	9.66689	9.38521	9.59936	9.51689	9.67853	9.57783	9.48994
ILMN_1212619	8.38632	8.34507	8.38764	8.41424	8.35463	8.41449	8.44951	8.40059	8.39593	8.44024	8.37298	8.39402	8.37070	8.38486	8.37841	8.38086
ILMN_1212628	8.33792	8.30008	8.35911	8.33568	8.33045	8.30659	8.31302	8.32315	8.33656	8.30408	8.30449	8.30887	8.32228	8.33326	8.35051	8.31926
ILMN_1212632	8.42454	8.46825	8.45965	8.45980	8.42138	8.43758	8.41925	8.46445	8.44929	8.42191	8.41376	8.42460	8.46597	8.44398	8.48123	8.47451
ILMN_1212636	11.63662	11.75444	11.81118	11.68210	11.68375	11.72258	11.83225	11.72673	11.74565	11.65075	11.74175	11.84487	11.77620	11.84807	11.79722	11.87037
ILMN_1212637	9.64382	9.50025	9.72325	9.54834	9.67800	9.65888	9.64793	9.54026	9.55511	9.60790	9.48291	9.50969	9.53011	9.81712	9.50188	9.57329
ILMN_1212645	8.46508	8.38111	8.37428	8.37498	8.41606	8.39297	8.35930	8.38050	8.39297	8.38778	8.39491	8.41941	8.38683	8.38645	8.40617	8.34337
ILMN_1212648	9.05800	8.93691	8.90977	8.88377	8.92757	8.86332	9.00377	8.92985	8.90214	8.90182	8.86956	8.94418	8.89472	8.88165	8.85894	8.86549
ILMN_1212653	8.53351	8.51601	8.48699	8.50601	8.47399	8.48596	8.53713	8.48638	8.48309	8.47193	8.49890	8.49688	8.47272	8.48068	8.50066	8.52132
ILMN_1212672	8.83392	8.92761	8.85511	8.87055	8.80616	8.88058	8.90604	8.85593	8.98788	8.79571	8.92588	8.84712	8.94824	8.90049	8.84865	8.85021
ILMN_1212682	8.43857	8.41897	8.42657	8.39756	8.43115	8.45330	8.41845	8.44704	8.44899	8.41993	8.48054	8.43901	8.46791	8.40331	8.44673	8.38840
ILMN_1212683	8.32651	8.35290	8.30795	8.34968	8.30804	8.27327	8.30338	8.31889	8.33509	8.30740	8.30928	8.32915	8.32054	8.30881	8.33508	8.30332
ILMN_1212685	8.30814	8.31253	8.34471	8.29249	8.31986	8.34034	8.32545	8.33514	8.31865	8.33851	8.27007	8.30559	8.29950	8.34447	8.30631	8.32883
ILMN_1212692	8.31399	8.30157	8.33661	8.30808	8.31073	8.32008	8.31770	8.32706	8.31851	8.33276	8.33204	8.31748	8.31880	8.32884	8.31588	8.32107
ILMN_1212693	8.38660	8.37742	8.34882	8.39522	8.39477	8.39208	8.35170	8.39831	8.40220	8.36863	8.43044	8.34695	8.36223	8.39544	8.36544	8.37753
ILMN_1212695	8.30820	8.37819	8.31797	8.37943	8.30414	8.35759	8.34319	8.36822	8.34954	8.30654	8.36392	8.35542	8.32802	8.34131	8.34594	8.34023
ILMN_1212698	8.30896	8.33771	8.31499	8.33179	8.31607	8.27452	8.30754	8.31346	8.34204	8.32636	8.32154	8.31369	8.29634	8.32580	8.30858	8.30740
ILMN_1212702	12.89581	12.80140	14.39425	13.29196	13.18216	12.88356	13.12882	12.81782	12.66543	12.48489	13.70323	13.07463	12.27288	12.35870	12.86186	12.42731
ILMN_1212703	8.52679	8.52010	8.52120	8.51593	8.54976	8.54617	8.56150	8.61537	8.52295	8.53756	8.54462	8.57791	8.59574	8.58832	8.59349	8.58107
ILMN_1212716	8.32525	8.32056	8.29261	8.29884	8.31875	8.30350	8.32009	8.28770	8.30293	8.32461	8.30372	8.31658	8.32187	8.30867	8.32417	8.31873
ILMN_1212717	8.38972	8.38796	8.35201	8.39980	8.35422	8.36093	8.38621	8.35449	8.35551	8.38091	8.38346	8.35414	8.36389	8.35978	8.34993	8.35023
ILMN_1212720	9.40416	9.46919	9.43343	9.51654	9.37370	9.51477	9.52828	9.49548	9.50179	9.45814	9.52296	9.40650	9.52377	9.42876	9.51157	9.50922
ILMN_1212724	8.32187	8.32592	8.30705	8.30649	8.29594	8.29114	8.30713	8.35390	8.33654	8.31646	8.31802	8.30973	8.32219	8.28983	8.35646	8.33762
ILMN_1212752	8.34532	8.33412	8.31487	8.33715	8.32320	8.31375	8.31759	8.33460	8.34341	8.38386	8.34764	8.31894	8.33364	8.30408	8.32009	8.33320
ILMN_1212759	8.67717	8.74412	8.75869	8.60364	8.68149	8.73717	8.63155	8.69947	8.69389	8.71032	8.79008	8.72936	8.72346	8.74800	8.69621	8.74348
ILMN_1212762	8.30623	8.33392	8.30338	8.33291	8.29194	8.29805	8.31581	8.31950	8.31413	8.30740	8.30461	8.30584	8.31690	8.32543	8.30639	8.30027
ILMN_1212782	8.32723	8.34807	8.30691	8.34600	8.32501	8.36851	8.32520	8.31823	8.31510	8.30242	8.30556	8.37765	8.32007	8.34926	8.34225	8.34573
ILMN_1212791	8.41506	8.42945	8.48239	8.45560	8.49771	8.44476	8.41543	8.42643	8.41025	8.47629	8.38142	8.50195	8.49632	8.43556	8.42948	8.42210
ILMN_1212794	8.57086	8.55941	8.54741	8.52163	8.55193	8.58790	8.53334	8.52661	8.64915	8.65508	8.61918	8.59668	8.64246	8.56726	8.59746	8.61303
ILMN_1212799	8.28538	8.29924	8.35811	8.31902	8.32140	8.31317	8.30958	8.31618	8.32320	8.31811	8.35128	8.29884	8.32238	8.30174	8.31126	8.34258
ILMN_1212804	8.35115	8.31695	8.33910	8.32799	8.31219	8.34118	8.35172	8.31628	8.32099	8.34835	8.33290	8.32288	8.35082	8.34057	8.34623	8.33076
ILMN_1212812	8.37296	8.38536	8.34207	8.35429	8.33370	8.35999	8.34286	8.32693	8.33077	8.33829	8.34151	8.30631	8.31951	8.31945	8.31906	8.31503
ILMN_1212823	8.41560	8.36719	8.30161	8.35969	8.33758	8.32478	8.34637	8.33524	8.34408	8.32830	8.37440	8.34762	8.35419	8.40148	8.34185	8.31037
ILMN_1212828	8.32200	8.31650	8.30698	8.35429	8.32018	8.31233	8.30551	8.31560	8.31019	8.31557	8.30550	8.31865	8.32497	8.35601	8.33863	8.31622
ILMN_1212835	8.30921	8.35000	8.36588	8.33454	8.34421	8.36117	8.37389	8.36342	8.35694	8.36998	8.39775	8.34145	8.34983	8.34215	8.40244	8.36796
ILMN_1212836	8.32456	8.36213	8.31368	8.32125	8.31397	8.32541	8.29498	8.31590	8.30730	8.31187	8.36417	8.32539	8.30821	8.31717	8.32857	8.29780
ILMN_1212840	8.33845	8.33967	8.33146	8.33987	8.37208	8.36512	8.36459	8.35669	8.34078	8.34635	8.31526	8.33621	8.36629	8.33767	8.35869	8.37271
ILMN_1212850	8.34541	8.42096	8.35875	8.34995	8.37193	8.38608	8.36488	8.36416	8.33786	8.34395	8.34787	8.33346	8.41361	8.35792	8.37677	8.35609
ILMN_1212854	8.35493	8.35487	8.34936	8.35622	8.36201	8.36985	8.34035	8.35772	8.38227	8.38242	8.35642	8.35224	8.35186	8.38078	8.33588	8.38032
ILMN_1212875	8.31831	8.31888	8.33782	8.36335	8.32399	8.31136	8.30929	8.35050	8.33284	8.32823	8.32016	8.32849	8.31639	8.33001	8.32540	8.31826
ILMN_1212878	8.29933	8.30140	8.29906	8.31121	8.30370	8.30656	8.31595	8.32183	8.31567	8.30042	8.32775	8.32465	8.32352	8.34496	8.33580	8.31305
ILMN_1212884	8.30422	8.33503	8.30484	8.35166	8.29839	8.29037	8.37359	8.30530	8.31491	8.30440	8.29088	8.30448	8.31531	8.33887	8.31745	8.29518
ILMN_1212894	9.10804	9.05003	9.04096	9.13348	9.08343	9.03747	9.21674	9.13298	9.01349	9.11860	9.08075	9.14658	9.09430	9.09526	9.08812	9.13058
ILMN_1212902	9.68980	9.55597	9.53334	9.41820	9.76621	9.66433	9.41027	9.60473	9.73601	9.80604	9.56233	9.47268	9.48562	9.31669	9.51581	9.58797
ILMN_1212906	8.40287	8.36326	8.41461	8.42341	8.45745	8.39316	8.38881	8.35898	8.36607	8.34656	8.35647	8.38634	8.37974	8.40013	8.38423	8.37124
ILMN_1212907	8.63198	8.51045	8.51380	8.52639	8.62345	8.59065	8.63802	8.54086	8.57742	8.61922	8.55047	8.57002	8.54325	8.62686	8.57206	8.58280
ILMN_1212921	8.34960	8.32022	8.32215	8.30297	8.31740	8.35379	8.32374	8.32038	8.32144	8.32438	8.32679	8.35610	8.32660	8.35069	8.33508	8.34545
ILMN_1212935	8.37789	8.37192	8.39307	8.39089	8.40850	8.39263	8.38549	8.39955	8.42532	8.40663	8.37377	8.41024	8.42881	8.40810	8.43606	8.43381
ILMN_1212938	8.41668	8.38171	8.38398	8.36690	8.42634	8.39614	8.37278	8.38406	8.38265	8.38143	8.53607	8.36356	8.36839	8.37257	8.37613	8.36134
ILMN_1212939	8.33317	8.36784	8.31216	8.34712	8.32127	8.31299	8.32035	8.33944	8.31996	8.33323	8.31895	8.32094	8.31872	8.31713	8.32094	8.31369
ILMN_1212941	9.88672	9.88365	9.90521	9.93371	9.99548	9.99560	9.91786	9.79264	9.82424	9.97062	10.02375	9.79242	9.80980	9.92585	9.88134	9.83672
ILMN_1212949	8.44698	8.41016	8.42542	8.41881	8.38930	8.41444	8.43740	8.38884	8.45915	8.43690	8.42797	8.43249	8.41756	8.43039	8.45179	8.38687
ILMN_1212953	8.29787	8.34612	8.31800	8.36439	8.30908	8.31774	8.33785	8.32285	8.31880	8.32923	8.31627	8.36892	8.32294	8.31661	8.35071	8.34279
ILMN_1212966	8.32541	8.31037	8.34114	8.29667	8.35555	8.34555	8.31410	8.34345	8.31324	8.33089	8.34208	8.31133	8.34244	8.29994	8.29978	8.30368
ILMN_1212975	9.09071	8.96584	9.17854	9.09389	9.17084	9.12430	9.14246	9.08064	8.97234	9.02605	8.95488	9.12408	9.12161	9.08786	9.02988	9.05901
ILMN_1212980	8.32689	8.31444	8.31641	8.32924	8.32016	8.33447	8.31757	8.33415	8.32903	8.37180	8.33735	8.38482	8.30262	8.31435	8.32898	8.30102
ILMN_1212982	8.82973	8.84725	8.77472	8.71984	8.70367	8.81681	8.82887	8.73503	8.82520	8.75728	8.75833	8.78308	8.88522	8.81626	8.87937	8.87069
ILMN_1212993	8.52288	8.47330	8.44319	8.43742	8.45828	8.45396	8.50235	8.45274	8.42887	8.46581	8.47316	8.51815	8.44873	8.45848	8.47205	8.50096
ILMN_1212997	8.34643	8.32875	8.33536	8.36506	8.34774	8.36362	8.32995	8.33537	8.35395	8.34391	8.34321	8.33017	8.33754	8.33267	8.35399	8.33734
ILMN_1212998	8.30657	8.30214	8.35838	8.29339	8.33696	8.30795	8.33982	8.37181	8.32429	8.31117	8.33734	8.31265	8.31104	8.33640	8.34325	8.33404
ILMN_1213001	8.43372	8.38114	8.48476	8.40827	8.46018	8.44553	8.43376	8.48377	8.47871	8.45246	8.48143	8.40082	8.45784	8.43387	8.48996	8.43912
ILMN_1213002	8.31157	8.31046	8.34375	8.32973	8.31942	8.31095	8.32039	8.34487	8.31452	8.32135	8.30394	8.30175	8.32212	8.31750	8.31795	8.34802
ILMN_1213014	8.49769	8.47824	8.50745	8.55173	8.46133	8.46986	8.48274	8.50955	8.52709	8.52967	8.49500	8.49460	8.49822	8.46203	8.45019	8.48434
ILMN_1213024	8.31921	8.31044	8.31420	8.33545	8.32078	8.33244	8.34312	8.33312	8.33972	8.32642	8.34800	8.34938	8.35652	8.32039	8.34622	8.32464
ILMN_1213026	10.07842	9.89542	10.01078	10.21086	9.84245	9.98794	10.29386	10.10004	10.20549	10.01039	10.03491	9.99049	10.17893	9.92495	10.11876	10.07779
ILMN_1213030	8.43789	8.40429	8.40354	8.49414	8.42438	8.42026	8.44274	8.44617	8.42317	8.42685	8.41840	8.41092	8.40016	8.42767	8.40721	8.44934
ILMN_1213053	8.44565	8.49666	8.50692	8.44797	8.41835	8.50567	8.56154	8.43668	8.48405	8.52093	8.47730	8.45505	8.52608	8.45066	8.45385	8.53083
ILMN_1213055	8.59353	8.69256	8.63456	8.67825	8.59776	8.62834	8.59832	8.70105	8.73678	8.66287	8.64206	8.60371	8.67955	8.61545	8.67032	8.64530
ILMN_1213056	9.01502	9.27947	8.96633	9.06819	8.99158	9.07543	9.07260	8.95849	9.03726	9.01756	9.21307	8.90409	8.95988	9.02276	9.01394	8.83744
ILMN_1213068	8.34674	8.32950	8.36786	8.37092	8.31345	8.32182	8.34408	8.34353	8.34742	8.30400	8.34355	8.32354	8.33406	8.34154	8.33068	8.30899
ILMN_1213070	9.53085	9.46506	9.46836	9.58638	9.43968	9.36624	9.47299	9.44905	9.53216	9.49263	9.66713	9.52614	9.43285	9.47944	9.32352	9.53935
ILMN_1213093	8.38689	8.36520	8.39440	8.36138	8.33840	8.41216	8.38814	8.40602	8.39278	8.36769	8.36820	8.39696	8.34441	8.39157	8.37971	8.37522
ILMN_1213096	8.30925	8.33414	8.30161	8.31242	8.33820	8.34391	8.33354	8.29854	8.32817	8.33197	8.32369	8.32305	8.33491	8.33655	8.30105	8.36594
ILMN_1213101	8.35254	8.33649	8.36427	8.35648	8.38514	8.39232	8.40402	8.41271	8.35010	8.36420	8.32371	8.33950	8.38411	8.42247	8.40093	8.37566
ILMN_1213110	8.34066	8.37111	8.44219	8.39774	8.40551	8.41424	8.38924	8.36933	8.41634	8.41271	8.35627	8.37059	8.37000	8.38568	8.37688	8.38575
ILMN_1213117	10.00041	10.18425	10.25446	10.03125	10.13309	10.18102	10.06812	10.22663	10.36765	10.28915	10.07359	10.10518	10.26101	10.16476	10.24693	10.15727
ILMN_1213123	8.40214	8.33629	8.35668	8.34144	8.32743	8.31692	8.32845	8.34321	8.30981	8.31402	8.31995	8.36153	8.33080	8.32906	8.35207	8.32498
ILMN_1213124	8.31843	8.31339	8.30208	8.34490	8.37533	8.31512	8.31310	8.31281	8.33118	8.29020	8.33512	8.30617	8.32699	8.31438	8.31092	8.34234
ILMN_1213136	8.33253	8.35329	8.36008	8.36947	8.33725	8.30485	8.33999	8.32953	8.37350	8.34674	8.36608	8.39882	8.34115	8.33966	8.34767	8.36391
ILMN_1213139	8.33089	8.34255	8.37478	8.35179	8.39543	8.35147	8.38035	8.34176	8.38502	8.36992	8.36074	8.32363	8.35189	8.36844	8.34993	8.35294
ILMN_1213144	10.34910	10.22949	10.36458	10.32480	10.43216	10.41787	10.35664	10.30250	10.24518	10.43669	10.31143	10.42388	10.42241	10.32841	10.35295	10.41086
ILMN_1213148	8.72786	8.78450	8.81794	8.75347	8.75144	8.73711	8.65995	8.79442	8.81435	8.73029	8.70082	8.77761	8.76614	8.71673	8.67372	8.81882
ILMN_1213167	9.80918	9.86078	10.03552	10.01298	9.72835	10.00375	10.10215	9.83605	9.92514	9.94435	9.75344	9.77537	10.17598	9.91316	10.05654	9.98243
ILMN_1213200	9.35773	9.22900	9.24174	9.36483	9.38736	9.34558	9.41647	9.30066	9.31237	9.27039	9.18322	9.39374	9.43905	9.36247	9.30594	9.40584
ILMN_1213216	8.31863	8.31419	8.30918	8.29349	8.31732	8.31249	8.30421	8.32467	8.32360	8.32114	8.32303	8.31810	8.29635	8.29071	8.31741	8.32164
ILMN_1213222	8.29851	8.32406	8.31160	8.31346	8.36197	8.32411	8.34059	8.34166	8.35022	8.30029	8.35844	8.32115	8.34565	8.33849	8.35478	8.32256
ILMN_1213231	9.48273	9.33637	9.32402	9.31833	9.60334	9.59858	9.51914	9.49531	9.35880	9.33624	9.44527	9.39920	9.36554	9.49419	9.48983	9.43689
ILMN_1213257	8.36704	8.35503	8.37760	8.33619	8.38512	8.36691	8.40540	8.38867	8.36060	8.38755	8.36266	8.36089	8.39025	8.40136	8.38767	8.36045
ILMN_1213265	8.32153	8.32138	8.33136	8.32934	8.31451	8.32228	8.32345	8.29130	8.31493	8.34110	8.30512	8.32692	8.30594	8.30366	8.34918	8.30960
ILMN_1213268	8.30795	8.34368	8.30487	8.32885	8.33115	8.31748	8.32212	8.31665	8.30747	8.31483	8.28772	8.30544	8.30334	8.32304	8.31349	8.32483
ILMN_1213273	8.90762	8.80497	8.88700	8.74744	8.74830	8.93885	8.92422	8.90764	8.85388	8.91764	8.80042	8.86083	8.91930	8.81893	8.85954	8.94058
ILMN_1213275	8.35984	8.34534	8.32926	8.38474	8.33631	8.34242	8.34560	8.36595	8.36321	8.35613	8.31090	8.34214	8.35471	8.35245	8.34449	8.35543
ILMN_1213286	9.13879	9.16509	8.79293	9.09850	9.37984	9.13675	8.85884	9.04272	9.09735	8.77903	9.17399	8.89771	8.81372	8.90993	9.10477	8.71120
ILMN_1213287	8.37728	8.38838	8.34597	8.34991	8.36486	8.36439	8.35504	8.35605	8.37702	8.40678	8.33363	8.33439	8.36927	8.36498	8.38995	8.38173
ILMN_1213289	8.38942	8.41913	8.37072	8.36157	8.36603	8.38532	8.38632	8.37500	8.37584	8.33421	8.36300	8.40496	8.34890	8.34634	8.37073	8.38515
ILMN_1213290	8.55099	8.50743	8.53498	8.56187	8.48496	8.56250	8.49244	8.52156	8.48507	8.48372	8.52246	8.50643	8.48789	8.48784	8.52125	8.47845
ILMN_1213296	8.96501	8.95913	8.95901	9.02439	8.88634	8.91751	8.87676	8.91131	9.00968	8.92356	8.96368	8.93296	8.95668	8.92603	8.82667	8.88088
ILMN_1213307	9.39996	9.52249	9.42103	9.60607	9.44003	9.42146	9.45985	9.55225	9.58137	9.37681	9.40139	9.50833	9.48795	9.37908	9.51528	9.52451
ILMN_1213309	8.33793	8.35383	8.35601	8.33276	8.36441	8.38232	8.35270	8.34842	8.33622	8.30824	8.35545	8.35849	8.37333	8.33051	8.33779	8.35617
ILMN_1213311	8.34081	8.32523	8.34403	8.32016	8.32429	8.31173	8.31070	8.31211	8.31651	8.32676	8.34357	8.33758	8.32543	8.32276	8.31355	8.35165
ILMN_1213316	8.38501	8.42926	8.41168	8.35618	8.36061	8.35313	8.37719	8.37274	8.38946	8.39419	8.40056	8.43202	8.39638	8.40575	8.37476	8.40137
ILMN_1213337	8.37346	8.36911	8.36732	8.36330	8.37952	8.34869	8.39528	8.37679	8.35019	8.42279	8.37841	8.36729	8.38504	8.34156	8.39180	8.36530
ILMN_1213351	8.37022	8.32157	8.31904	8.34015	8.34041	8.32727	8.34635	8.31840	8.32694	8.33281	8.37021	8.32302	8.37501	8.34358	8.33625	8.31956
ILMN_1213354	8.40682	8.36443	8.37800	8.37570	8.36878	8.37557	8.36724	8.38304	8.40004	8.36804	8.37841	8.34989	8.39731	8.36363	8.42945	8.37401
ILMN_1213355	8.30352	8.30672	8.33822	8.29721	8.29844	8.31823	8.30315	8.29340	8.31971	8.31086	8.31924	8.31736	8.31676	8.33376	8.31635	8.30513
ILMN_1213368	8.31747	8.34183	8.31133	8.33612	8.31666	8.32210	8.30273	8.31428	8.34569	8.30672	8.32828	8.31104	8.28474	8.33422	8.35060	8.32725
ILMN_1213371	8.29579	8.32345	8.30503	8.34361	8.31793	8.31224	8.31077	8.32718	8.29916	8.33679	8.32314	8.31390	8.32549	8.31204	8.32325	8.29872
ILMN_1213376	8.50576	8.43392	8.42406	8.44846	8.44555	8.46754	8.48795	8.43218	8.45793	8.39552	8.46914	8.49654	8.43622	8.42512	8.45622	8.44015
ILMN_1213393	8.32491	8.31160	8.43218	8.31394	8.31293	8.32956	8.29954	8.32458	8.36250	8.35543	8.30645	8.35145	8.31760	8.32587	8.32360	8.32120
ILMN_1213405	8.35834	8.39092	8.32958	8.38209	8.38825	8.37818	8.35115	8.41483	8.33881	8.32844	8.35538	8.41481	8.41842	8.35998	8.40557	8.33819
ILMN_1213409	8.35127	8.35377	8.33912	8.34719	8.33282	8.33115	8.30630	8.33889	8.31571	8.38030	8.32468	8.34501	8.31416	8.32613	8.31583	8.32700
ILMN_1213426	8.72299	8.84475	8.88324	8.72887	8.90865	8.82547	8.86408	8.78992	8.68277	8.78384	8.62901	8.77887	8.80253	8.78622	8.73223	8.68106
ILMN_1213437	8.39055	8.36775	8.38817	8.32660	8.32300	8.35181	8.32172	8.37282	8.36481	8.36557	8.34927	8.33060	8.33889	8.35820	8.36107	8.37380
ILMN_1213441	8.30993	8.30252	8.33769	8.30122	8.30155	8.32657	8.33305	8.32543	8.30887	8.31696	8.31877	8.35662	8.32630	8.32194	8.34265	8.32800
ILMN_1213449	9.73994	9.71582	9.74007	9.61923	9.62949	9.67225	9.65351	9.63116	9.64339	9.70002	9.64658	9.76007	9.79288	9.71496	9.60258	9.62966
ILMN_1213456	10.37735	10.19497	10.22181	10.22572	10.30805	10.33323	10.31848	10.28396	10.16592	10.29633	10.26290	10.39570	10.34867	10.27263	10.30961	10.28695
ILMN_1213458	8.41033	8.38408	8.41016	8.41286	8.42016	8.40055	8.41385	8.42093	8.41630	8.40722	8.45041	8.34463	8.42345	8.44304	8.42492	8.44699
ILMN_1213473	8.34610	8.35217	8.32276	8.34767	8.32777	8.32956	8.33050	8.31043	8.33995	8.35598	8.32660	8.32987	8.32409	8.33855	8.33133	8.31020
ILMN_1213474	8.43871	8.35073	8.40688	8.39658	8.38829	8.33352	8.35858	8.35120	8.36500	8.35739	8.39127	8.34602	8.37891	8.37394	8.37550	8.37594
ILMN_1213483	11.25748	11.61715	11.77377	11.28654	11.38633	11.65285	11.54606	11.63881	11.60640	11.94528	11.48140	11.58746	11.68077	11.24890	11.24407	11.56005
ILMN_1213495	8.33766	8.33919	8.37230	8.33013	8.34751	8.32989	8.33000	8.33078	8.32269	8.31784	8.32557	8.31360	8.33517	8.36502	8.34610	8.32479
ILMN_1213506	8.31952	8.30969	8.31188	8.32527	8.34342	8.31929	8.30748	8.32526	8.34975	8.32129	8.32727	8.34114	8.32105	8.32610	8.33765	8.29961
ILMN_1213524	8.31388	8.34618	8.31012	8.30576	8.30448	8.33564	8.29833	8.31074	8.30243	8.31012	8.32104	8.32160	8.29815	8.31645	8.33116	8.32717
ILMN_1213531	12.75022	12.75601	12.65394	12.73251	12.84628	12.83127	13.04653	12.88004	12.63436	12.66388	12.68616	12.94071	12.92154	12.74937	12.81032	12.92028
ILMN_1213535	8.32841	8.34387	8.32276	8.30145	8.32803	8.32050	8.30814	8.31278	8.33570	8.32841	8.32839	8.32039	8.34367	8.34012	8.32176	8.29406
ILMN_1213549	8.31954	8.30190	8.34190	8.33717	8.32962	8.32647	8.35550	8.31012	8.33960	8.31944	8.33421	8.31411	8.32509	8.31325	8.32929	8.30670
ILMN_1213564	8.39771	8.34895	8.43871	8.36954	8.38843	8.39950	8.38841	8.41010	8.36020	8.35997	8.38348	8.39215	8.36901	8.36142	8.40734	8.40293
ILMN_1213572	8.41538	8.39041	8.39885	8.36525	8.39774	8.40602	8.37214	8.38622	8.40517	8.43514	8.39292	8.48544	8.40309	8.41860	8.35611	8.39373
ILMN_1213573	9.29571	9.25933	9.32604	9.17711	9.25070	9.21635	9.30743	9.25576	9.30802	9.18989	9.32102	9.31633	9.37562	9.33411	9.23065	9.27065
ILMN_1213574	8.31260	8.30639	8.33219	8.36589	8.35442	8.35534	8.32168	8.34326	8.35762	8.34205	8.33037	8.36026	8.34078	8.33782	8.35599	8.34407
ILMN_1213579	8.33286	8.30999	8.32066	8.33276	8.31561	8.34634	8.32869	8.33490	8.30723	8.33519	8.33002	8.31496	8.32097	8.31876	8.29784	8.30555
ILMN_1213596	8.34102	8.32890	8.32534	8.31646	8.33448	8.33666	8.32941	8.35291	8.32741	8.29827	8.32585	8.32955	8.34066	8.31854	8.31813	8.33276
ILMN_1213604	8.35325	8.37817	8.34906	8.40817	8.40654	8.38907	8.35085	8.38310	8.36451	8.35450	8.32425	8.34940	8.34155	8.36634	8.36448	8.35863
ILMN_1213615	8.36114	8.33265	8.38023	8.38861	8.37351	8.38775	8.39399	8.34283	8.34791	8.35926	8.36833	8.40958	8.36776	8.33204	8.37502	8.35110
ILMN_1213617	8.63671	8.72894	8.70669	8.61277	8.61410	8.65761	8.71922	8.60079	8.70099	8.64721	8.63158	8.67419	8.70979	8.63759	8.69245	8.67057
ILMN_1213618	8.36238	8.35580	8.34692	8.36453	8.36973	8.38337	8.36909	8.38570	8.37965	8.35017	8.36494	8.35873	8.36115	8.34340	8.32752	8.37824
ILMN_1213632	8.37788	8.33905	8.34185	8.36552	8.40106	8.33957	8.35331	8.37163	8.32523	8.33321	8.33181	8.36545	8.37892	8.37971	8.35566	8.38195
ILMN_1213645	8.46893	8.47113	8.48867	8.46747	8.49514	8.46128	8.42723	8.49292	8.47064	8.44042	8.50103	8.49206	8.41074	8.45560	8.47685	8.42610
ILMN_1213672	8.28883	8.32397	8.30851	8.31713	8.32220	8.32496	8.32509	8.32893	8.31848	8.33037	8.31855	8.34953	8.32088	8.32957	8.32395	8.34581
ILMN_1213678	8.38915	8.40471	8.36738	8.42090	8.36868	8.38860	8.40365	8.41660	8.40737	8.35778	8.41944	8.44709	8.38481	8.42131	8.39206	8.40728
ILMN_1213680	8.33494	8.34193	8.33846	8.33540	8.33305	8.33651	8.35898	8.35115	8.34842	8.36228	8.33347	8.33215	8.34108	8.33769	8.31588	8.32697
ILMN_1213681	10.06361	9.98655	9.97259	9.92595	9.94929	9.95705	9.98694	9.94263	10.03693	10.03044	10.03216	9.95640	10.08085	10.02033	9.98367	9.96008
ILMN_1213692	8.36465	8.34385	8.37322	8.37376	8.35733	8.37590	8.39308	8.40107	8.41088	8.41729	8.43436	8.41120	8.42623	8.37163	8.39081	8.36563
ILMN_1213711	10.38875	10.38455	10.48471	10.40309	10.25221	10.29059	10.17982	10.35040	10.36250	10.31034	10.42992	10.27464	10.22032	10.27109	10.20592	10.21899
ILMN_1213721	8.32660	8.31025	8.31304	8.36174	8.30896	8.30380	8.30521	8.33436	8.32308	8.32154	8.31829	8.37686	8.32257	8.31460	8.32585	8.32360
ILMN_1213725	8.51131	8.56059	8.53382	8.48263	8.51622	8.45380	8.49298	8.54640	8.50992	8.49299	8.55001	8.52228	8.50065	8.54235	8.49971	8.51388
ILMN_1213728	8.35261	8.33754	8.34767	8.35070	8.35133	8.37492	8.34678	8.36177	8.38322	8.37688	8.36321	8.33834	8.34670	8.35479	8.34386	8.36612
ILMN_1213736	9.04280	9.02770	8.93205	9.04700	9.02030	8.99124	9.05073	9.12885	9.38764	9.21836	9.09018	9.04817	8.97034	8.89079	9.07945	8.80209
ILMN_1213745	8.51967	8.58254	8.54553	8.54421	8.51518	8.52695	8.57290	8.60713	8.60105	8.52609	8.48863	8.56379	8.56961	8.50892	8.56369	8.50888
ILMN_1213750	8.30167	8.29775	8.29154	8.35835	8.34479	8.32902	8.34693	8.33337	8.35277	8.32265	8.33098	8.31218	8.32473	8.32882	8.33513	8.33280
ILMN_1213763	8.45829	8.46947	8.44952	8.49980	8.43903	8.51483	8.52742	8.47437	8.46761	8.41527	8.41822	8.45682	8.47012	8.43530	8.41700	8.42569
ILMN_1213777	8.31593	8.34049	8.29938	8.35016	8.30327	8.36185	8.32102	8.34137	8.30567	8.30342	8.33974	8.33295	8.33952	8.36063	8.30568	8.31355
ILMN_1213779	8.92510	8.88936	8.82127	8.84297	8.92355	8.90710	8.77673	8.88226	8.88360	8.87246	8.88918	8.97100	8.83413	8.90127	8.94544	8.89632
