Reporter Identifier	VALUE
1	0.201393087
2	1.944339749
3	1.630531715
4	1.410303261
5	0.921817006
6	0.922965824
7	0.335328667
8	1.352908998
9	2.317175877
10	1.327134614
11	1.456254417
12	0.336570821
13	0.848043477
14	0.314789246
15	0.22076512
16	1.388899387
17	0.102486836
18	0.128749041
19	0.653448116
20	0.278583532
21	0.10058684
22	6.206686498
23	0.195826374
24	0.207373409
25	0.715323851
26	0.681889147
27	0.042112321
28	0.831780973
29	2.672055128
30	0.158760168
31	0.56684386
32	0.067972126
33	0.096189053
34	0.050637397
35	0.078407306
36	0.141115554
37	0.464956983
38	0.674984591
39	1.26278625
40	1.30894821
41	0.488376061
42	4.753898846
43	0.405079664
44	1.489588074
45	0.707288516
46	0.136967785
47	3.659055095
48	0.876942582
49	0.473941546
50	2.068248392
51	2.792592963
52	0.355507424
53	3.813826083
54	0.179235966
55	1.066960657
56	0.257623174
57	2.032254234
58	2.297596954
59	0.888763164
60	0.125906896
61	0.580882636
62	0.802461564
63	0.239289249
64	0.347139056
65	0.396489422
66	0.202620265
67	2.106823088
68	1.571126123
69	0.241931601
70	2.998201727
71	3.644486797
72	1.200821513
73	1.985037877
74	1.154299706
75	3.069285791
76	0.140102222
77	0.458175907
78	0.522322128
79	0.31977864
80	0.355920159
81	0.19913982
82	2.117527007
83	0.100058216
84	0.654908788
85	2.658128701
86	0.849694219
87	0.418738003
88	1.351707047
89	0.397981385
90	0.432758232
91	1.332897544
92	1.304667337
93	0.157408962
94	0.444177453
95	0.178441726
96	0.087654289
97	0.919343814
98	1.514533744
99	0.183091851
100	0.829545094
101	0.805916263
102	0.998675683
103	0.069929348
104	1.025086006
105	0.407120283
106	2.847636803
107	1.652304353
108	1.667419172
109	2.903871112
110	3.080725253
111	0.455446559
112	0.85519152
113	0.162329439
114	0.548436052
115	5.749648229
116	2.15548768
117	1.061176324
118	0.352830036
119	0.985114339
120	0.978199564
121	1.183839852
122	0.226927607
123	0.277180815
124	0.378991049
125	2.045733212
126	0.450425493
127	1.12245506
128	0.399992686
129	2.476554625
130	0.330860858
131	0.116594051
132	0.088275799
133	0.404326596
134	4.153377372
