Reporter Identifier	VALUE
1	0.163779614
2	2.20434816
3	1.661043119
4	1.589815218
5	0.84390469
6	1.130285439
7	0.25223732
8	1.037017831
9	3.207109289
10	0.924146585
11	1.741420612
12	0.212388799
13	0.687411442
14	0.318361509
15	0.236750354
16	0.943724586
17	0.096369582
18	0.112393666
19	0.718693722
20	0.300082122
21	0.147543442
22	9.277350692
23	0.259088724
24	0.150536968
25	0.671430424
26	0.59879996
27	0.047405921
28	0.844398483
29	2.231727552
30	0.152577492
31	0.643718515
32	0.085985851
33	0.064355906
34	0.048133433
35	0.078494788
36	0.146965407
37	0.478576402
38	0.698431135
39	1.837865941
40	0.450337611
41	0.643546725
42	3.233135143
43	0.427264792
44	1.908212063
45	2.655542157
46	0.120081623
47	13.79722382
48	0.822413402
49	0.478524969
50	2.625823938
51	4.985569925
52	0.254096503
53	7.692804658
54	0.179163626
55	1.115050493
56	0.221798071
57	3.132179917
58	3.091031408
59	1.2239989
60	0.101598334
61	0.425905281
62	0.224091502
63	0.213889043
64	0.213363569
65	1.16960044
66	0.536509824
67	3.373231881
68	1.671495029
69	0.265580569
70	4.531610225
71	5.983537051
72	1.554080904
73	0.547645779
74	1.016574573
75	2.330037377
76	0.180700932
77	0.776525284
78	0.466842604
79	0.462933342
80	0.391437993
81	0.173452483
82	2.116326982
83	0.118322597
84	1.078435693
85	4.159857342
86	0.843171353
87	0.297977673
88	0.696737891
89	0.640743941
90	0.335416394
91	1.973244214
92	1.171230652
93	0.106393935
94	0.685855002
95	0.157458548
96	0.114356416
97	1.08532483
98	1.194608866
99	0.225365714
100	0.583881411
101	0.436492891
102	0.573344103
103	0.060843281
104	0.223188582
105	0.244470408
106	0.698838587
107	0.285473571
108	1.249342537
109	2.773567333
110	3.402464965
111	0.359740962
112	0.480860729
113	0.172285617
114	0.57641202
115	6.694677745
116	1.49439744
117	0.867988088
118	0.28366063
119	1.429537883
120	1.273124986
121	2.388573464
122	0.232185991
123	0.446986583
124	0.492225439
125	3.501585788
126	0.315022245
127	0.79609264
128	0.254743569
129	3.81319362
130	0.294063049
131	0.114972138
132	0.090360341
133	0.499001601
134	2.620956217
