Reporter Identifier	VALUE
1	0.227260289
2	2.004159801
3	1.3364259
4	1.281811235
5	0.787173949
6	0.713073894
7	0.377079007
8	0.802281027
9	3.201724962
10	1.519291896
11	2.458903476
12	0.322010678
13	0.929432375
14	2.021489779
15	0.287724826
16	0.987702061
17	0.109114713
18	0.134843612
19	0.874130096
20	0.283358282
21	0.146923164
22	7.994859842
23	0.35706656
24	0.159571743
25	0.634337331
26	0.456350571
27	0.043441047
28	0.375322985
29	1.8801313
30	0.155416327
31	0.656926858
32	0.120976847
33	0.038046184
34	0.060659593
35	0.0868199
36	0.121718613
37	0.307447626
38	0.596295089
39	1.141789014
40	1.276601572
41	0.546304491
42	1.033740315
43	0.356164876
44	3.076552678
45	0.348246303
46	0.163628093
47	1.69399861
48	0.915227254
49	0.576076457
50	2.873459312
51	3.63127796
52	0.377395379
53	2.721296699
54	0.222120887
55	2.291812539
56	0.346343141
57	2.89409889
58	2.806438505
59	1.445630509
60	0.421865508
61	0.543292134
62	1.487268963
63	0.277690682
64	0.347260618
65	0.434787371
66	0.177173835
67	2.477706943
68	1.292338639
69	0.258556158
70	3.0122761
71	4.003112288
72	1.580180247
73	0.26904055
74	1.156153897
75	1.98402824
76	0.110477543
77	0.453148243
78	0.501744858
79	0.297964526
80	0.278577381
81	0.156743002
82	2.456008644
83	0.115551239
84	0.761913412
85	1.997748073
86	0.935962663
87	0.415858129
88	0.917435122
89	0.243081889
90	0.553936086
91	4.052840632
92	1.064422809
93	0.115613423
94	0.627814427
95	0.195760032
96	0.12526559
97	0.511697514
98	2.676039576
99	0.355939335
100	0.623586621
101	0.502790878
102	0.689170282
103	0.262131623
104	2.0067056
105	0.254676041
106	1.152279379
107	0.973697374
108	1.589350923
109	2.778725188
110	2.033142744
111	0.291903817
112	0.563377113
113	0.143673384
114	0.756141919
115	4.299876999
116	2.364931383
117	0.477192247
118	0.219753702
119	0.778990196
120	3.529404938
121	0.869506018
122	0.598917522
123	0.219690516
124	0.564685454
125	1.817456147
126	0.592354134
127	1.448026645
128	0.34784914
129	2.90636061
130	0.252809375
131	0.123444075
132	0.1057538
133	0.509914285
134	1.748347259
