Reporter Identifier	VALUE
1	0.193979671
2	2.062077664
3	2.548957348
4	2.899990279
5	1.192556278
6	1.937867039
7	0.353535201
8	0.817350849
9	0.326191308
10	0.398138968
11	1.75848741
12	0.364921725
13	0.779939458
14	2.031940488
15	0.251995828
16	2.012535732
17	0.112830223
18	0.137524003
19	0.781651704
20	0.39162468
21	0.588331048
22	0.521399534
23	0.339268324
24	0.196564712
25	0.678210015
26	0.56973473
27	0.052366414
28	0.714053743
29	2.293145345
30	0.143709524
31	0.584328705
32	0.11027891
33	0.033218574
34	0.051132415
35	0.080301045
36	0.106310176
37	0.358190324
38	0.787677928
39	1.134026139
40	0.627847222
41	3.610393347
42	3.443001093
43	0.298005329
44	0.329852972
45	0.260529701
46	0.085498398
47	0.634002915
48	0.978446274
49	2.398149981
50	2.800447827
51	4.649507105
52	0.337524004
53	3.597935508
54	0.176388577
55	5.285419922
56	0.546552688
57	2.259041744
58	2.797741918
59	0.664369459
60	0.11083875
61	0.654538397
62	1.090898019
63	0.329430374
64	0.607956853
65	0.518746728
66	0.298579437
67	3.43069977
68	3.579214946
69	0.271444834
70	4.873514085
71	6.399769555
72	1.434572682
73	0.524653816
74	0.91256716
75	1.861448996
76	0.176835126
77	0.747109105
78	0.507012064
79	0.454272432
80	0.477032606
81	0.222191646
82	2.236172951
83	0.117392997
84	0.625680024
85	1.685381744
86	0.887094562
87	0.253076318
88	0.681226482
89	0.244427451
90	0.398126968
91	1.503439789
92	1.153492157
93	0.129655301
94	0.431748906
95	0.181686149
96	0.099252779
97	0.757169398
98	1.751173892
99	0.284113231
100	0.721001037
101	0.358605059
102	0.375903327
103	0.069257937
104	2.01244706
105	0.399190088
106	3.019759791
107	1.193218405
108	1.072755154
109	2.144619204
110	2.394465445
111	0.373671415
112	0.619924442
113	0.117553193
114	0.311200856
115	3.534796582
116	1.311449353
117	0.646354679
118	0.260904583
119	0.867580454
120	1.934617721
121	0.818614929
122	0.230458849
123	0.453789452
124	0.4289404
125	2.582209029
126	0.312496413
127	1.101072817
128	0.249876967
129	11.633208
130	0.201308482
131	0.209818775
132	0.131170415
133	0.601250891
134	1.432060966
