Reporter Identifier	VALUE
1	0.147226118
2	2.768229737
3	1.102546767
4	1.61768333
5	0.921667072
6	0.734521764
7	0.434412029
8	1.205859626
9	1.679306656
10	0.792170221
11	1.352223953
12	0.51721185
13	0.905288004
14	1.00175344
15	0.232185118
16	1.825504076
17	0.102857301
18	0.080774426
19	0.403020363
20	0.357208845
21	0.12585395
22	3.290257127
23	0.206673944
24	0.149705814
25	0.850901646
26	0.845279756
27	0.049422838
28	1.342511983
29	3.394008025
30	0.129976682
31	0.494972056
32	0.104081832
33	1.236580964
34	0.039595617
35	0.093800729
36	0.12187133
37	0.263909893
38	0.520057495
39	1.713709668
40	1.039159185
41	0.558811073
42	4.343129441
43	0.574233384
44	0.307400342
45	0.148685326
46	0.102660403
47	1.35732051
48	0.849219995
49	0.599353237
50	1.692692641
51	3.963959185
52	0.31858304
53	4.918147996
54	0.162303772
55	0.508288422
56	0.167918623
57	2.437830685
58	2.755183985
59	0.744930022
60	0.102115131
61	0.377158097
62	0.293662446
63	0.394563197
64	0.283985185
65	0.606610894
66	0.246976983
67	3.40579646
68	0.912544975
69	0.188402668
70	4.216736138
71	6.583661047
72	1.405414474
73	0.972315344
74	0.950796331
75	2.224392768
76	0.156935766
77	0.564158144
78	0.37646498
79	0.293739293
80	0.295347552
81	0.166386989
82	2.573723133
83	0.172040611
84	0.808711828
85	2.902548409
86	1.388413041
87	0.392485156
88	0.938239166
89	0.48037666
90	0.434861812
91	2.55855306
92	0.782581221
93	0.132048544
94	0.418016707
95	0.172522774
96	0.142535815
97	0.861672535
98	1.461795634
99	0.303067423
100	0.682236955
101	1.245389934
102	2.455701477
103	0.080629098
104	0.783393389
105	0.280525841
106	4.254367767
107	1.951010274
108	2.154315783
109	4.14147595
110	4.174494848
111	0.743934803
112	0.779142591
113	0.163361691
114	0.44679321
115	3.923357799
116	1.573282795
117	0.759295696
118	0.241175067
119	1.109341576
120	0.934937182
121	0.834641745
122	0.154890714
123	0.314228531
124	0.304248316
125	2.010758478
126	0.629363999
127	1.18566163
128	0.213288081
129	2.036539661
130	0.252523786
131	0.079320692
132	0.098670855
133	0.366271682
134	3.732325682
