Reporter Identifier	VALUE
1	0.181408098
2	1.382779367
3	1.565935625
4	1.67879006
5	0.91491382
6	0.888999004
7	0.287647232
8	0.852785372
9	0.564600865
10	0.312515572
11	2.397368966
12	0.24835439
13	0.876220438
14	0.396510449
15	0.248734082
16	3.279973394
17	0.114759699
18	0.103060921
19	0.588624786
20	0.377843241
21	0.187373367
22	2.226191458
23	0.094769402
24	0.166583606
25	1.692334646
26	3.581078801
27	0.075204737
28	2.156833792
29	4.087246497
30	0.134303696
31	0.690211321
32	0.056544663
33	6.981147499
34	0.041022799
35	0.096050988
36	0.166658521
37	0.199320138
38	0.386642114
39	1.291447841
40	1.169398456
41	0.924455815
42	5.660302543
43	0.309259058
44	0.369078089
45	0.2797424
46	0.090516479
47	1.926241008
48	0.963828982
49	0.485796444
50	2.00442417
51	2.152961709
52	0.510008741
53	4.933515147
54	0.159240433
55	0.729635737
56	0.218925015
57	0.946559517
58	2.082415852
59	0.654729133
60	0.099350101
61	0.320731452
62	0.178424439
63	0.360276293
64	0.321723498
65	0.480955004
66	0.160702349
67	2.470294406
68	2.436721293
69	0.211649452
70	4.142547101
71	5.063445177
72	1.49390068
73	2.245584125
74	1.560299861
75	2.758427339
76	0.077203888
77	0.397012091
78	0.516048455
79	0.514783593
80	0.422088737
81	0.208260489
82	2.107179789
83	0.1391057
84	0.404527744
85	3.746445325
86	0.964721947
87	0.236068304
88	1.663824908
89	0.658191331
90	0.365468025
91	2.321484228
92	1.41709274
93	0.179613129
94	0.481094924
95	0.152943201
96	0.077371708
97	0.959506685
98	1.19688412
99	0.26478465
100	0.813033272
101	1.114025122
102	3.289517259
103	0.06594704
104	1.830781487
105	0.453946282
106	8.077608355
107	2.804942007
108	1.539602896
109	2.691954373
110	2.661212166
111	0.274165065
112	0.999987271
113	0.162738526
114	0.45616495
115	2.812926892
116	1.068208003
117	0.875496905
118	0.232831852
119	0.93103829
120	1.497869984
121	2.852209447
122	0.212833604
123	0.477841763
124	0.273786314
125	2.355658403
126	0.193520603
127	1.000842003
128	0.336996397
129	3.765760661
130	0.251902854
131	0.090300653
132	0.075824554
133	0.408628011
134	2.915703948
