Reporter Identifier	VALUE
1	0.210416036
2	1.830846112
3	1.228991476
4	1.361939039
5	0.743822312
6	0.870671122
7	0.572311738
8	1.097919206
9	0.400314615
10	0.486534116
11	4.733142225
12	0.396196611
13	0.58973308
14	1.482442709
15	0.251556947
16	1.222808763
17	0.099985054
18	0.12446105
19	0.580479742
20	0.286170888
21	0.344158074
22	6.475152648
23	0.456836041
24	0.164876123
25	0.521336468
26	0.336630949
27	0.040767552
28	0.733613806
29	2.83614474
30	0.129155252
31	0.524137053
32	0.08041778
33	0.036185043
34	0.048335088
35	0.07992839
36	0.126811447
37	0.466099451
38	0.773172128
39	1.139359645
40	0.710379956
41	1.371065217
42	3.237632239
43	0.479023077
44	1.900930674
45	0.260351337
46	0.118021565
47	0.917450209
48	0.985971966
49	0.517600057
50	3.275964158
51	9.346987294
52	0.371768128
53	4.937498928
54	0.147830763
55	2.485884691
56	0.325184862
57	1.0888693
58	3.063559458
59	0.882832939
60	0.178688641
61	0.59009844
62	0.692287242
63	0.252788118
64	0.275501883
65	0.899672593
66	0.597128293
67	4.184217591
68	1.727468546
69	0.199446334
70	3.726376873
71	5.152304728
72	1.246037157
73	0.809759443
74	1.195528884
75	3.089010785
76	0.170966637
77	0.525680974
78	0.468144519
79	0.294121643
80	0.370734771
81	0.220520217
82	2.574816242
83	0.137786542
84	0.591665253
85	3.294849284
86	0.829281097
87	0.383327767
88	1.11870537
89	0.182839259
90	0.411787355
91	4.208185934
92	0.860058947
93	0.111908853
94	0.473272411
95	0.18127883
96	0.08571034
97	0.495686251
98	4.223207089
99	0.364898652
100	0.493064681
101	0.534375814
102	0.71304001
103	0.282379046
104	0.438079498
105	0.29187147
106	2.166854906
107	1.44289512
108	0.88494929
109	1.261499405
110	2.722951117
111	0.430027384
112	0.624391827
113	0.152938618
114	0.563215098
115	4.757684828
116	2.051732692
117	0.832197782
118	0.270376716
119	1.01209281
120	1.004805654
121	1.440026358
122	0.184922309
123	0.254772129
124	0.425936026
125	1.37909086
126	0.366977087
127	1.400476641
128	0.230376564
129	5.418652828
130	0.234496306
131	0.126050955
132	0.109458535
133	0.535728535
134	1.631454433
