Reporter Identifier	VALUE
1	0.180108257
2	1.626551046
3	2.259163321
4	2.76561259
5	1.402301929
6	1.306559353
7	0.445756968
8	0.727954908
9	0.293127757
10	0.334727878
11	4.339537462
12	0.389616401
13	0.742201171
14	0.59633095
15	0.297574887
16	5.142420344
17	0.077655738
18	0.101546996
19	0.580575834
20	0.274302175
21	0.265776544
22	5.237015013
23	0.174646952
24	0.166858099
25	0.756092081
26	0.605501964
27	0.053620709
28	1.662635349
29	2.670061908
30	0.141318288
31	0.613727503
32	0.052883691
33	0.04421243
34	0.048153885
35	0.102754022
36	0.139744292
37	0.378797434
38	0.815509915
39	1.768781213
40	1.149727139
41	0.427419816
42	5.922817379
43	0.584645028
44	0.349431987
45	0.288709184
46	0.099663472
47	0.67154005
48	0.801735739
49	0.659050652
50	2.197076073
51	3.557327176
52	0.455715591
53	4.698125058
54	0.165499589
55	0.347211167
56	0.220700938
57	1.399197926
58	3.138848568
59	0.510672097
60	0.100568022
61	0.46527832
62	0.185196547
63	0.277769294
64	0.368153024
65	0.518713588
66	0.269769251
67	4.013320349
68	1.541246451
69	0.20152886
70	4.861903671
71	6.982155011
72	1.490439747
73	2.574292537
74	2.312380136
75	2.113906242
76	0.097390768
77	0.407991812
78	0.577386692
79	0.481168719
80	0.422191771
81	0.262267757
82	3.497831888
83	0.179782306
84	0.428525212
85	4.149026468
86	0.944741336
87	0.316129306
88	1.020222844
89	0.286509102
90	0.344083618
91	1.355180571
92	1.523794196
93	0.228455753
94	0.663384621
95	0.167678406
96	0.074060392
97	0.909364091
98	1.56344463
99	0.262465385
100	0.979093553
101	0.820896528
102	1.386963264
103	0.077155255
104	1.067609266
105	0.361915057
106	3.699522799
107	1.977079155
108	1.956926424
109	3.563775168
110	4.208936502
111	0.284433853
112	0.432698513
113	0.131681477
114	0.417558762
115	1.899950273
116	0.849993358
117	0.610276604
118	0.199698249
119	1.20438652
120	1.318743777
121	9.478666065
122	0.182768059
123	0.318232758
124	0.193969043
125	2.061444602
126	0.264897089
127	1.03893581
128	0.24446747
129	1.089452595
130	0.273470633
131	0.101000385
132	0.097157791
133	0.468740548
134	3.916282575
