Reporter Identifier	VALUE
1	0.192409733
2	3.075826404
3	1.217369847
4	0.975182473
5	0.766663308
6	0.920234643
7	0.301404481
8	0.88583955
9	1.146607529
10	0.669197727
11	1.628022332
12	0.283876238
13	0.707672978
14	0.43271242
15	0.210423595
16	1.23776703
17	0.092888802
18	0.120751727
19	0.648875269
20	0.367715914
21	0.1203577
22	12.74610116
23	0.489664162
24	0.183171849
25	0.605163543
26	0.751097609
27	0.037626539
28	0.613005266
29	2.035296362
30	0.271332256
31	0.568994953
32	0.045831108
33	0.084231718
34	0.048673217
35	0.078669706
36	0.135038831
37	0.422361723
38	1.091073522
39	1.345917881
40	3.60240968
41	0.430308105
42	2.202530148
43	0.383001186
44	2.258477055
45	0.340644945
46	0.130081024
47	3.307661021
48	1.024944566
49	0.493110263
50	4.110422357
51	23.2333753
52	0.336788743
53	5.597315454
54	0.160085542
55	1.593118649
56	0.257891079
57	0.987546509
58	2.556099649
59	0.67061326
60	0.127474477
61	0.641848987
62	0.28751995
63	0.372772168
64	0.226180814
65	0.195649219
66	0.123071991
67	4.455973246
68	1.494340695
69	0.21339227
70	3.839813273
71	6.352229786
72	1.262039109
73	0.490217471
74	1.124771814
75	6.658145318
76	0.200261156
77	0.665027999
78	0.47998355
79	0.364616972
80	0.446000013
81	0.200099358
82	2.099682577
83	0.099301877
84	1.597857255
85	3.395267879
86	0.861978231
87	0.356380489
88	1.391625302
89	0.524582311
90	0.29785827
91	1.5197054
92	1.256342801
93	0.105193911
94	0.727921153
95	0.220371014
96	0.081562303
97	1.10412225
98	1.883250358
99	0.303642334
100	0.699511686
101	0.476085779
102	0.506738578
103	0.070158628
104	0.24274176
105	0.434679207
106	0.992636692
107	0.866292575
108	0.500305091
109	0.633088207
110	3.580242584
111	0.452571734
112	0.541897192
113	0.298506794
114	0.531089439
115	5.210785682
116	1.046487315
117	0.832936172
118	0.422368504
119	1.155478339
120	0.946841571
121	1.61726595
122	0.206971557
123	0.368142319
124	0.606346178
125	2.390167363
126	0.427454302
127	1.192421631
128	0.423334747
129	1.699148021
130	0.261857144
131	0.098682097
132	0.087380736
133	0.381098538
134	3.020297488
