Reporter Identifier	VALUE
1	0.168393713
2	2.202304406
3	1.504007063
4	1.413489532
5	0.893054163
6	0.908336402
7	0.425616506
8	0.825416376
9	0.200751988
10	0.256748328
11	1.936137331
12	0.284031497
13	0.605357968
14	0.331707846
15	0.232475676
16	1.858405009
17	0.098458855
18	0.126503802
19	0.915244611
20	0.384701999
21	0.147479006
22	2.920385815
23	0.093647746
24	0.156368474
25	1.82645747
26	2.981343563
27	0.058264235
28	1.328886143
29	4.037697212
30	0.145878057
31	0.619684186
32	0.056407902
33	5.037607892
34	0.039252513
35	0.085061767
36	0.175347025
37	0.255241242
38	0.453448115
39	1.204539443
40	0.846531448
41	0.897744639
42	7.013523872
43	0.290525306
44	0.381318392
45	0.27063118
46	0.107676286
47	3.071593933
48	1.126131334
49	0.541189184
50	2.334569567
51	4.45839614
52	0.425781206
53	4.883648254
54	0.132223279
55	0.994988326
56	0.252156454
57	1.064739495
58	2.435103528
59	0.771311069
60	0.096225468
61	0.338155031
62	0.208914899
63	0.345624506
64	0.311260242
65	0.366018012
66	0.181369039
67	3.690210164
68	3.081921503
69	0.222479547
70	5.343697446
71	6.364550178
72	1.58962027
73	3.730707896
74	2.9026506
75	4.437860109
76	0.093330915
77	0.364854117
78	0.538333755
79	0.334627381
80	0.416466943
81	0.181952191
82	1.627923763
83	0.122437534
84	0.419455883
85	2.954180752
86	1.006946753
87	0.49565152
88	1.465355769
89	0.613396307
90	0.52986678
91	2.677532906
92	1.057379699
93	0.136351229
94	0.391764695
95	0.168436177
96	0.059062612
97	0.787590825
98	1.776064182
99	0.267525453
100	0.728143245
101	1.978861274
102	4.25881706
103	0.078204743
104	1.489240109
105	0.450544347
106	10.86022839
107	2.889277403
108	2.518186957
109	5.420639913
110	4.101074414
111	0.515104085
112	1.088146799
113	0.128486282
114	0.498168014
115	2.80780076
116	1.49633856
117	1.117007203
118	0.191125997
119	1.222163732
120	1.042541603
121	1.710328116
122	0.170644564
123	0.287905407
124	0.329444275
125	2.688500473
126	0.165700148
127	1.063923299
128	0.282392629
129	5.405027969
130	0.284565824
131	0.097502128
132	0.074664497
133	0.390137212
134	2.011504046
