Reporter Identifier	VALUE
1	0.168936366
2	1.962072011
3	2.546205581
4	3.608247477
5	1.388143182
6	1.608754242
7	0.582245416
8	0.844820328
9	0.155101619
10	0.307501644
11	2.29413155
12	0.527787344
13	0.845341484
14	2.373981554
15	0.257221147
16	2.623875195
17	0.100177299
18	0.101474336
19	0.601538403
20	0.327278279
21	0.666765926
22	0.45104413
23	0.357870899
24	0.161620091
25	0.620131169
26	0.48251746
27	0.050716109
28	0.850392321
29	2.619942555
30	0.131017398
31	0.579674606
32	0.082479856
33	0.031174291
34	0.041586324
35	0.070963094
36	0.116510745
37	0.360357077
38	0.993166822
39	1.32739739
40	0.669712377
41	3.612056289
42	3.195696935
43	0.262192147
44	0.330642312
45	0.228678627
46	0.086156896
47	0.668668441
48	1.166963207
49	2.310790291
50	2.992944098
51	3.160757269
52	0.293517539
53	3.697409823
54	0.157409283
55	6.381315589
56	0.447007108
57	1.930761562
58	3.084365482
59	0.70307118
60	0.098121881
61	0.570274624
62	1.190909811
63	0.232208731
64	0.516556926
65	0.552037117
66	0.264595706
67	4.365611207
68	3.352158762
69	0.278070641
70	5.417504608
71	7.311654498
72	1.483997424
73	0.644953182
74	1.060733497
75	1.988745888
76	0.200027978
77	0.741732745
78	0.460155539
79	0.472975026
80	0.414751801
81	0.185023288
82	2.75229414
83	0.123165949
84	0.681145679
85	2.111096634
86	0.901366701
87	0.253741291
88	0.750782188
89	0.198987761
90	0.361822246
91	1.652419101
92	1.252991481
93	0.104766067
94	0.409964599
95	0.181706283
96	0.105533004
97	0.884406105
98	1.955720624
99	0.282249801
100	0.79077987
101	0.38143107
102	0.283102111
103	0.067009624
104	2.248036423
105	0.377491301
106	3.00866887
107	1.371319667
108	0.884643083
109	1.276269583
110	2.561998669
111	0.360135396
112	0.590963858
113	0.112150535
114	0.2762778
115	3.819395243
116	1.449212215
117	0.578547321
118	0.23259977
119	1.84597627
120	2.219075083
121	0.931564674
122	0.193084999
123	0.445340889
124	0.352413257
125	2.273298857
126	0.350094781
127	1.10463434
128	0.178110759
129	16.19857549
130	0.198683549
131	0.146999692
132	0.12698947
133	0.660539196
134	2.940853683
