Reporter Identifier	VALUE
1	0.173775445
2	3.226599909
3	0.895781356
4	1.362415807
5	0.839675717
6	0.900481912
7	0.593369801
8	1.49371041
9	0.457376499
10	0.385261268
11	2.462973807
12	0.469427106
13	0.749998571
14	0.435115896
15	0.282821601
16	1.441468098
17	0.089954307
18	0.078769026
19	0.362569503
20	0.269769504
21	0.107552407
22	7.864728698
23	0.406364455
24	0.145869099
25	0.610474094
26	0.529876604
27	0.049409379
28	1.851459713
29	2.601840721
30	0.152792686
31	0.515767487
32	0.068324747
33	7.798434843
34	0.048539817
35	0.070765589
36	0.106118869
37	0.317029956
38	0.705586299
39	1.507555154
40	1.069801552
41	0.486730544
42	0.500453727
43	0.426788901
44	1.663200757
45	0.550401456
46	0.09391279
47	3.099802359
48	1.118722454
49	0.583821353
50	2.270527284
51	7.61890662
52	0.38535671
53	6.542126156
54	0.181612465
55	0.602397354
56	0.195062948
57	0.964066206
58	2.268564448
59	0.752208116
60	0.123319774
61	0.365131383
62	0.273336639
63	0.293739431
64	0.485784599
65	0.445223487
66	0.190778759
67	3.609115724
68	1.354552267
69	0.223791337
70	4.665400232
71	9.142250611
72	1.578561406
73	0.593222966
74	0.969592554
75	3.236727078
76	0.200104138
77	0.350859097
78	0.423515243
79	0.235768531
80	0.274149158
81	0.154010049
82	2.380939725
83	0.181635391
84	0.980101254
85	3.038655928
86	1.014223436
87	0.359443248
88	1.211934789
89	0.254468256
90	0.299554236
91	2.976665904
92	1.531664422
93	0.118278373
94	0.754544274
95	0.218483369
96	0.145857553
97	0.904978466
98	1.890751113
99	0.322597706
100	0.75939524
101	0.702414146
102	0.908290931
103	0.090291623
104	2.108495097
105	0.275157313
106	0.688169863
107	0.761064201
108	0.374595718
109	0.49777185
110	3.17350371
111	0.433034959
112	0.715658057
113	0.179859726
114	0.54699378
115	3.174027333
116	1.259588531
117	0.677685503
118	0.347756327
119	1.649992669
120	1.202972319
121	1.083906775
122	0.230323181
123	0.36191676
124	0.216676096
125	2.06513659
126	0.34298478
127	1.090787394
128	0.249113635
129	4.766402747
130	0.225249647
131	0.084869533
132	0.099151424
133	0.381136368
134	7.22203824
