Reporter Identifier	VALUE
1	0.181804685
2	2.406578153
3	1.111986551
4	1.084225161
5	0.742095093
6	0.840736457
7	0.378847205
8	1.304969086
9	3.793917866
10	1.199307688
11	1.372892555
12	0.245041646
13	0.688903445
14	1.113749216
15	0.200704184
16	1.21859675
17	0.09342673
18	0.109092527
19	0.662555319
20	0.31164553
21	0.085702286
22	12.73845039
23	0.269374163
24	0.169698241
25	1.105265196
26	1.012647358
27	0.04062649
28	0.790517717
29	2.941209914
30	0.191581165
31	0.565145637
32	0.082044235
33	0.03710041
34	0.044712781
35	0.062103999
36	0.117824057
37	0.67469669
38	0.878200389
39	1.366760127
40	0.876701214
41	0.852543826
42	2.417190971
43	0.307641202
44	2.909642938
45	0.955938128
46	0.331961878
47	6.209863881
48	0.885216219
49	0.532485098
50	5.48220616
51	7.923540412
52	0.284894391
53	4.538464961
54	0.152961275
55	1.834631744
56	0.319137667
57	1.684514381
58	2.40632307
59	6.610203323
60	0.857695503
61	0.731035851
62	0.430249546
63	0.413285306
64	0.294841434
65	0.361313414
66	0.187602685
67	3.884739122
68	1.227139923
69	0.397905111
70	4.76285779
71	5.766420852
72	1.381662959
73	0.72331003
74	1.044535701
75	2.903210368
76	0.087030243
77	0.373660267
78	0.572764996
79	0.264096065
80	0.319963953
81	0.145732361
82	1.985460622
83	0.114948086
84	0.713622015
85	2.740425032
86	0.822723984
87	0.352029299
88	1.276076696
89	0.326391454
90	0.407412846
91	2.834637446
92	1.237530335
93	0.112710181
94	0.662304004
95	0.177435101
96	0.082455597
97	0.911678135
98	1.37036892
99	0.270578132
100	0.666150717
101	1.188568657
102	2.574981489
103	0.06190663
104	2.060787826
105	0.36919139
106	2.380218513
107	1.409808483
108	1.126140133
109	1.901298063
110	3.862486346
111	0.32439594
112	0.733945754
113	0.19717483
114	0.503145983
115	4.807015506
116	1.807436505
117	0.967439118
118	0.480244816
119	0.930117273
120	14.85653934
121	1.028656492
122	1.15049688
123	0.265479927
124	0.191028849
125	2.718186079
126	0.349317168
127	1.18382696
128	0.355467271
129	2.393182742
130	0.271284141
131	0.124950451
132	0.102195135
133	0.527192735
134	3.167490816
