Reporter Identifier	VALUE
1	0.15738439
2	2.789384793
3	1.620405153
4	1.505576188
5	0.876153776
6	1.06010734
7	0.231514116
8	0.94806086
9	3.228315654
10	1.083008019
11	1.60465971
12	0.176213186
13	0.526561398
14	0.271571774
15	0.194950833
16	0.910122482
17	0.08339156
18	0.112961874
19	0.829845808
20	0.27528485
21	0.139162887
22	9.836694624
23	0.263708359
24	0.142987402
25	0.69722122
26	0.667851577
27	0.04396957
28	0.708380564
29	2.393437168
30	0.150196522
31	0.752057354
32	0.086137049
33	0.061263144
34	0.038150271
35	0.062275262
36	0.134425586
37	0.48203671
38	0.61201024
39	1.709758464
40	0.596844987
41	0.65124195
42	3.131327242
43	0.415926087
44	2.20181646
45	2.399850435
46	0.133213953
47	12.15746295
48	0.870614473
49	0.444151625
50	2.964460882
51	5.849357018
52	0.227217358
53	7.968605586
54	0.152520517
55	1.436966416
56	0.266034008
57	3.113105449
58	3.41070713
59	1.201139206
60	0.090364019
61	0.319217046
62	0.227442678
63	0.172621192
64	0.191327986
65	1.049440783
66	0.522807882
67	3.788648133
68	2.102948594
69	0.224320213
70	4.939544221
71	6.003512458
72	1.576427895
73	0.959216304
74	1.161420455
75	2.863005828
76	0.154556084
77	0.681552133
78	0.440907486
79	0.378735696
80	0.397005635
81	0.167786125
82	2.575654832
83	0.111839077
84	1.013066175
85	4.159160605
86	0.91895087
87	0.331833034
88	0.961967175
89	0.600888464
90	0.33614804
91	2.191164452
92	1.233138791
93	0.103483544
94	0.674365676
95	0.178677972
96	0.120057466
97	1.019478185
98	1.152502808
99	0.254560781
100	0.580283764
101	0.511198748
102	0.587099266
103	0.066582996
104	0.232334424
105	0.226474692
106	0.579411267
107	0.276033135
108	1.410719514
109	2.991804189
110	4.055792673
111	0.33164318
112	0.472770215
113	0.146401997
114	0.567670278
115	8.242480949
116	1.648750868
117	1.00253309
118	0.313953439
119	1.265569612
120	1.167231944
121	2.653534414
122	0.224573419
123	0.386654327
124	0.470597698
125	3.772283099
126	0.279632941
127	0.805782545
128	0.257028071
129	3.649947777
130	0.296608919
131	0.104415613
132	0.085283826
133	0.436105515
134	1.904242603
