Reporter Identifier	VALUE
1	0.17981599
2	2.445232534
3	1.354269693
4	1.426313877
5	0.913391897
6	1.10233359
7	0.321759783
8	0.961236735
9	0.183113323
10	0.273138294
11	1.76543784
12	0.301567574
13	0.759278326
14	0.297730365
15	0.226768221
16	2.585867227
17	0.107859856
18	0.129353031
19	0.867767982
20	0.374528188
21	0.165853691
22	2.322024065
23	0.119568499
24	0.171440984
25	1.744878776
26	2.541482364
27	0.055480472
28	1.471176398
29	3.199710601
30	0.152693673
31	0.712140951
32	0.075628106
33	3.973731572
34	0.046285601
35	0.091042343
36	0.162241631
37	0.258899308
38	0.405390893
39	1.50498299
40	2.695102004
41	1.186018834
42	5.013124497
43	0.233374195
44	0.428027422
45	0.318391345
46	0.093928344
47	1.920103091
48	0.985712069
49	0.562560331
50	1.897671157
51	2.856056387
52	0.56766272
53	4.144520672
54	0.1393113
55	0.89452821
56	0.222421168
57	0.77018205
58	2.066107879
59	0.656057939
60	0.102163137
61	0.335619719
62	0.201070825
63	0.277272588
64	0.320671659
65	0.420252767
66	0.23715211
67	4.051664044
68	2.561747585
69	0.23619
70	3.357165832
71	4.173171524
72	1.46432448
73	2.160501929
74	1.880450983
75	2.985201677
76	0.089993137
77	0.360535177
78	0.57647014
79	0.380675428
80	0.436896137
81	0.231755102
82	1.780515499
83	0.125335805
84	0.505483759
85	2.696896435
86	1.190545949
87	0.321871404
88	1.236158588
89	0.657641604
90	0.303485974
91	2.126256073
92	1.372377287
93	0.172464775
94	0.463893773
95	0.173188034
96	0.120977646
97	0.784105071
98	1.14493344
99	0.250714886
100	0.932731325
101	1.314666624
102	2.40108355
103	0.079169581
104	1.670199738
105	0.359697519
106	4.173395257
107	2.216623718
108	0.949800823
109	1.675347956
110	2.794687414
111	0.422383276
112	1.128571012
113	0.155525157
114	0.561686293
115	3.583970511
116	1.238618627
117	0.912395333
118	0.222406071
119	1.095301505
120	0.917921971
121	2.362832282
122	0.206656432
123	0.423446014
124	0.226295997
125	2.421160239
126	0.197777591
127	1.280943652
128	0.305517581
129	3.558078979
130	0.271420943
131	0.101720446
132	0.078860296
133	0.425174152
134	2.244295839
