Reporter Identifier	VALUE
1	0.192956869
2	1.440157086
3	1.270061977
4	1.463235924
5	0.786403072
6	0.811892294
7	0.40006827
8	1.035153562
9	6.462549753
10	3.12093206
11	4.048222065
12	0.402839502
13	0.639915175
14	1.464848265
15	0.321467029
16	1.286031242
17	0.099331689
18	0.10800444
19	0.59597358
20	0.273931947
21	0.290051588
22	4.579004038
23	0.265801237
24	0.174406122
25	0.730822375
26	0.451403189
27	0.047151207
28	0.794304471
29	2.548094421
30	0.14148183
31	0.517967899
32	0.084126271
33	0.042137183
34	0.059366672
35	0.086174226
36	0.106211554
37	0.317453309
38	0.820411066
39	1.376405415
40	0.699088588
41	1.061183341
42	2.736694849
43	0.510834317
44	1.673534864
45	0.234422505
46	0.117931792
47	0.803494501
48	0.861164465
49	0.563618869
50	2.766996362
51	4.965137886
52	0.356016504
53	3.563306755
54	0.142845062
55	2.647081829
56	0.326014947
57	2.146715887
58	2.082202247
59	0.767060975
60	0.169536615
61	0.550029066
62	0.591652042
63	0.608026089
64	0.278743879
65	1.082853312
66	0.563634835
67	3.587959556
68	1.644277545
69	0.205917176
70	2.892010799
71	3.888108159
72	1.28467153
73	1.950123237
74	1.236967592
75	2.227576391
76	0.168666495
77	0.617982884
78	0.480910702
79	0.339843621
80	0.295592619
81	0.159856997
82	2.651607143
83	0.145267327
84	0.627329419
85	2.584159676
86	0.882966736
87	0.416856646
88	0.81937929
89	0.244743593
90	1.04459482
91	3.747859313
92	0.824123518
93	0.170997651
94	0.474767193
95	0.184943169
96	0.099296303
97	0.547740325
98	3.094712917
99	0.359971237
100	0.552297255
101	0.520981299
102	0.628370838
103	0.342123503
104	0.452769925
105	0.299780704
106	2.455535812
107	1.230133375
108	2.329688691
109	4.504507036
110	2.900540308
111	0.437990839
112	0.589418936
113	0.170840674
114	0.521366738
115	3.273504643
116	1.931872078
117	1.310399507
118	0.224524108
119	1.008088778
120	1.528212697
121	1.310178647
122	0.261793789
123	0.261962571
124	0.229447866
125	1.860013135
126	0.740861497
127	1.351116499
128	0.238451146
129	4.035085558
130	0.280105195
131	0.115412021
132	0.106474685
133	0.513179334
134	3.26802525
