Reporter Identifier	VALUE
1	0.194015347
2	2.429392343
3	1.331544293
4	1.277784452
5	0.950147156
6	0.860266952
7	0.895725539
8	0.947923584
9	0.960164005
10	0.443279151
11	1.398213315
12	0.460101503
13	0.711499975
14	1.055988636
15	0.238603181
16	2.298447539
17	0.1058267
18	0.138210281
19	0.9097765
20	0.45298306
21	0.162174791
22	5.14834605
23	0.290998647
24	0.179996966
25	0.942119539
26	1.10497448
27	0.039592742
28	0.911681225
29	3.399892554
30	0.170447258
31	0.627695629
32	0.068901272
33	1.094127233
34	0.047353283
35	0.087653188
36	0.123743876
37	0.334413389
38	0.548217225
39	1.331138459
40	0.736122146
41	0.504929869
42	3.080750329
43	0.518574379
44	0.273360114
45	0.26114939
46	0.103285092
47	1.648622129
48	0.838741842
49	0.490429792
50	1.866909252
51	4.411862531
52	0.398623866
53	4.068119207
54	0.1478587
55	0.64762401
56	0.26131776
57	1.662164076
58	2.80736518
59	0.72868884
60	0.084928869
61	0.568614889
62	0.573650924
63	0.447026393
64	0.261628353
65	0.401480235
66	0.216292665
67	3.445237207
68	1.089973518
69	0.195563302
70	4.302166084
71	5.160082725
72	1.428282605
73	0.401680535
74	0.964431956
75	1.907026248
76	0.178391912
77	0.721254987
78	0.564489876
79	0.364147569
80	0.484674454
81	0.275688777
82	2.288684358
83	0.151631142
84	0.678452328
85	2.956615143
86	0.911496273
87	0.329821185
88	0.957527033
89	0.468437982
90	0.526423872
91	2.60152263
92	1.224932302
93	0.104545688
94	0.556996231
95	0.194672913
96	0.119993108
97	0.700096122
98	1.240760222
99	0.25046262
100	0.906036804
101	1.317816314
102	2.567999406
103	0.075079343
104	1.302703115
105	0.305032554
106	4.412374108
107	2.280476407
108	1.23681047
109	1.834715931
110	4.188419233
111	0.792228135
112	0.667220291
113	0.153751448
114	0.511027651
115	2.906030007
116	1.357681301
117	0.702383495
118	0.272200899
119	1.072273919
120	0.999183469
121	0.921017352
122	0.176086138
123	0.279392528
124	0.280389319
125	2.568747619
126	0.344943149
127	1.440054027
128	0.271300885
129	2.144436713
130	0.257041252
131	0.124364912
132	0.091880525
133	0.48861021
134	2.343656897
