Reporter Identifier	VALUE
1	0.190102986
2	2.863615802
3	1.188928659
4	1.257489497
5	0.881577457
6	0.780786079
7	0.914236022
8	1.09188961
9	0.878119742
10	0.487456368
11	1.464184543
12	0.555793329
13	0.739450822
14	0.957676892
15	0.23141046
16	2.223347009
17	0.10145764
18	0.129815384
19	0.773066835
20	0.337564598
21	0.155570846
22	5.138480388
23	0.242905193
24	0.168123264
25	0.678634669
26	0.760711122
27	0.038931806
28	0.864221788
29	3.307524939
30	0.156525886
31	0.575267473
32	0.063707733
33	0.188447199
34	0.048408196
35	0.076263873
36	0.121168673
37	0.413227682
38	0.583167683
39	1.571814257
40	0.8759218
41	0.587756504
42	2.715342912
43	0.656951525
44	0.296178648
45	0.262199087
46	0.115847745
47	1.491730081
48	0.815565621
49	0.515632163
50	1.614556958
51	3.933645835
52	0.352128698
53	5.656771943
54	0.154449393
55	0.797447491
56	0.272393075
57	1.655880815
58	2.450532402
59	0.79096696
60	0.108312061
61	0.568124778
62	0.283456721
63	0.232930261
64	0.293810167
65	0.498144185
66	0.335275589
67	4.047470476
68	1.163305468
69	0.201619032
70	4.525128157
71	6.492915283
72	1.41637775
73	0.566713613
74	0.996982642
75	1.874123804
76	0.181397233
77	0.700269935
78	0.572637771
79	0.36018859
80	0.478881936
81	0.239224952
82	2.176872584
83	0.145548444
84	0.648370918
85	2.566244374
86	0.936690129
87	0.404849786
88	0.886535352
89	0.49478642
90	0.466493162
91	2.99798255
92	0.979300035
93	0.101645518
94	0.489831733
95	0.197319832
96	0.107971951
97	0.640917851
98	1.291293999
99	0.257091789
100	0.705135785
101	1.23053849
102	2.542539932
103	0.07862511
104	1.268076777
105	0.274899
106	2.490097073
107	1.478953039
108	0.828997157
109	1.306877097
110	3.184322429
111	0.587064375
112	0.704525136
113	0.163020574
114	0.532183057
115	3.958413665
116	1.632584558
117	0.744752142
118	0.298855337
119	1.559178971
120	0.919270401
121	0.853054941
122	0.171483641
123	0.262650458
124	0.27227545
125	2.38524925
126	0.643205227
127	1.383232479
128	0.244764716
129	2.142657957
130	0.250748505
131	0.129595286
132	0.09648938
133	0.5047427
134	2.136525332
