Reporter Identifier	VALUE
1	0.164398141
2	2.523840541
3	1.360962204
4	1.385322444
5	0.841628341
6	0.889100105
7	0.657127658
8	1.053695056
9	1.470310509
10	0.833174052
11	3.52014037
12	0.40113093
13	0.777083251
14	2.19305663
15	0.293495387
16	2.117127108
17	0.078915157
18	0.089300158
19	0.503958075
20	0.283839746
21	0.08144097
22	7.167407732
23	0.139491749
24	0.13070205
25	0.631291242
26	0.626188738
27	0.042755352
28	1.101895063
29	4.356374217
30	0.113099936
31	0.410015558
32	0.075345168
33	0.042736689
34	0.041811174
35	0.087190355
36	0.119186004
37	0.475412178
38	0.882330786
39	1.171896741
40	0.830463792
41	0.707572391
42	4.214056135
43	0.27825545
44	2.333280153
45	0.235404644
46	0.093580391
47	0.656043388
48	0.831762085
49	0.858086818
50	1.587885167
51	3.995078844
52	0.308303304
53	6.415278805
54	0.169121291
55	5.400379797
56	0.323828155
57	2.630314438
58	2.541384951
59	0.56781825
60	0.122342186
61	0.760146311
62	0.864720363
63	0.24886525
64	0.420510047
65	0.308171803
66	0.144683208
67	3.852238017
68	6.480358688
69	0.226829417
70	4.638748609
71	6.107427554
72	1.305537031
73	0.701944041
74	1.169450946
75	2.0968053
76	0.159694076
77	0.567580498
78	0.541758021
79	0.348266411
80	0.290444794
81	0.19608105
82	2.674792877
83	0.122968437
84	0.924077414
85	2.589200166
86	0.811753773
87	0.349685298
88	1.099426339
89	0.360449217
90	0.490777514
91	3.24406569
92	1.33762706
93	0.118206513
94	0.550935757
95	0.174482616
96	0.087175971
97	0.926849992
98	2.807336098
99	0.284734911
100	0.669008838
101	0.502465926
102	0.549565017
103	46.12795075
104	4.273364332
105	0.251216173
106	1.714378512
107	1.063355979
108	1.121140715
109	1.8328033
110	3.487347066
111	0.337993919
112	0.392646784
113	0.146213252
114	0.431313905
115	3.994531188
116	1.881153536
117	0.7985919
118	0.190544433
119	1.150587891
120	1.082633463
121	1.786275903
122	0.203246371
123	0.316587406
124	0.444503205
125	2.191787285
126	0.551442007
127	1.33299493
128	0.223883463
129	3.543083455
130	0.18060633
131	0.092587437
132	0.087108418
133	0.449036889
134	5.228483163
