Reporter Identifier	VALUE
1	0.180499098
2	2.276632625
3	2.336362567
4	1.9934714
5	1.402306296
6	1.064148408
7	0.536582957
8	0.709859567
9	1.853572022
10	0.535621961
11	3.57735479
12	0.481162916
13	0.581298966
14	0.560497306
15	0.209296011
16	4.086344416
17	0.072168485
18	0.121404171
19	0.577729645
20	0.271415413
21	0.289493873
22	5.013113
23	0.212832575
24	0.157623605
25	0.713595981
26	0.394370429
27	0.042763236
28	1.549246016
29	2.27284668
30	0.139772264
31	0.5664374
32	0.048317417
33	0.037549862
34	0.046842708
35	0.081729902
36	0.143318284
37	0.3849839
38	0.710292694
39	1.433333389
40	0.874942094
41	0.477029565
42	5.137487883
43	0.530528473
44	0.21336884
45	0.250996168
46	0.114632439
47	0.666084057
48	0.899702587
49	0.596682015
50	2.262466154
51	11.15768924
52	0.46830062
53	5.210114633
54	0.14990562
55	0.367369035
56	0.244952457
57	1.39246577
58	3.196784409
59	0.548637703
60	0.101907599
61	0.476081722
62	0.199692928
63	0.765001087
64	0.380061606
65	0.371974555
66	0.257800315
67	4.079502202
68	1.654783054
69	0.220038585
70	6.414687335
71	7.610243213
72	1.369223942
73	4.337542198
74	2.680605047
75	3.842729269
76	0.092579598
77	0.322116143
78	0.508083189
79	0.433387467
80	0.550342574
81	0.301601281
82	3.202524415
83	0.133924722
84	0.366953839
85	3.29263303
86	0.776341962
87	0.416194963
88	1.131814331
89	0.237060795
90	0.436754674
91	1.273852749
92	1.520267141
93	0.212956911
94	0.604510965
95	0.152570034
96	0.056314765
97	0.778642239
98	1.604424744
99	0.25781494
100	0.949573088
101	0.768457256
102	1.447566311
103	0.086110444
104	0.905955722
105	0.31984677
106	3.609517531
107	1.972846245
108	2.7945731
109	5.734247289
110	4.111624744
111	0.318015769
112	0.403968614
113	0.121207337
114	0.426903263
115	1.580422049
116	0.794104326
117	0.625954415
118	0.196912257
119	1.120173402
120	1.754134557
121	7.441943555
122	0.23575138
123	0.26209756
124	0.173707779
125	2.427767141
126	0.324399106
127	1.281823819
128	0.246524742
129	1.290200039
130	0.28109331
131	0.104608864
132	0.080036309
133	0.356790602
134	2.461109964
