Reporter Identifier	VALUE
1	0.17921268
2	2.331533685
3	1.316635237
4	1.261810288
5	0.86211241
6	0.771098488
7	0.622697899
8	1.175495887
9	0.782901049
10	0.46813966
11	1.21711747
12	0.42017099
13	0.77878724
14	0.953866728
15	0.263428129
16	1.619460117
17	0.101886436
18	0.126693428
19	0.77625812
20	0.371775605
21	0.133549954
22	3.331878677
23	0.170923986
24	0.169320127
25	0.874629203
26	0.916618846
27	0.045241337
28	0.931394355
29	3.678482092
30	0.154457352
31	0.613072774
32	0.033946739
33	0.873762886
34	0.047627397
35	0.132290823
36	0.136444889
37	0.328962052
38	0.529204123
39	1.698878713
40	0.862407433
41	0.604272981
42	4.748020859
43	0.587322458
44	0.281029048
45	0.270428657
46	0.099804786
47	1.499290876
48	0.733473548
49	0.542836094
50	1.633228233
51	1.862737307
52	0.336494238
53	4.280478777
54	0.13762433
55	0.54045105
56	0.243002119
57	1.829027457
58	3.140568572
59	0.808352607
60	0.10805703
61	0.445822778
62	0.272110095
63	0.200667945
64	0.264722141
65	0.54712574
66	0.306055733
67	4.122560475
68	1.225579622
69	0.19459546
70	3.555007008
71	4.654701569
72	1.359808989
73	0.482252089
74	0.953988287
75	1.713006225
76	0.142688537
77	0.61675584
78	0.541656254
79	0.3725573
80	0.418267252
81	0.20921917
82	2.272730456
83	0.136418368
84	0.682639907
85	2.958351014
86	1.125046407
87	0.374564642
88	0.809479181
89	0.455861029
90	0.489164538
91	2.687195666
92	0.968926548
93	0.116949976
94	0.400500257
95	0.204705229
96	0.156947541
97	0.697258963
98	1.125471858
99	0.23800236
100	0.684833134
101	1.163992832
102	2.366043889
103	0.065541992
104	0.805346289
105	0.34712475
106	4.260327356
107	2.043674539
108	2.437980935
109	5.036060075
110	4.68312853
111	0.675004832
112	0.762350489
113	0.177624925
114	0.468217175
115	3.37110901
116	1.509260601
117	0.669934152
118	0.298739943
119	1.048750403
120	0.971125251
121	0.807135277
122	0.194286314
123	0.260524319
124	0.303220439
125	2.317918703
126	0.472037173
127	1.249204808
128	0.220354351
129	1.807736131
130	0.223157857
131	0.119661719
132	0.092172524
133	0.470560268
134	2.592179916
