Reporter Identifier	VALUE
1	0.185649243
2	3.138123648
3	1.223396843
4	1.220975936
5	0.812006501
6	0.769683096
7	0.286063654
8	2.749195638
9	5.754974513
10	2.409489893
11	5.134146451
12	0.317716231
13	0.780459218
14	1.222562459
15	0.218664655
16	0.88372601
17	0.092550438
18	0.115250714
19	0.702512365
20	0.252866898
21	0.246539218
22	6.048296617
23	0.323194085
24	0.162819684
25	0.751371494
26	0.605454776
27	0.041604594
28	0.752252816
29	3.876310885
30	0.144585559
31	0.5090441
32	0.065979838
33	0.047511135
34	0.043452175
35	0.067461482
36	0.109578013
37	0.219723829
38	0.755518531
39	1.202607303
40	0.956419778
41	1.032036624
42	2.603729537
43	0.266536493
44	1.625745062
45	0.236288346
46	0.085375003
47	0.678724791
48	0.793598057
49	1.962475353
50	1.866302441
51	3.393733186
52	0.23534712
53	6.181784436
54	0.164875854
55	12.27082899
56	0.595143006
57	3.015902898
58	3.306524495
59	0.754713603
60	0.109486844
61	1.073747765
62	0.636157714
63	1.094105153
64	0.697281953
65	0.436742584
66	0.21435449
67	4.432918269
68	13.17311425
69	0.219430351
70	4.62633304
71	5.842895238
72	1.65704674
73	3.149606022
74	1.209684828
75	2.021429073
76	0.28952517
77	1.232248804
78	0.469359213
79	0.315166483
80	0.350345665
81	0.176383589
82	2.366787404
83	0.099780199
84	0.887345709
85	3.202728583
86	0.825706969
87	0.259909272
88	0.932732312
89	0.202482355
90	2.122837061
91	27.5797772
92	1.566545805
93	0.143855534
94	0.467333443
95	0.151198554
96	0.085052136
97	0.987419193
98	1.571166668
99	0.269768005
100	0.632239889
101	0.503974099
102	0.775426592
103	1.156606097
104	2.517269711
105	0.28574273
106	2.170170502
107	1.610344356
108	1.244025232
109	3.687023177
110	3.030524293
111	0.869165736
112	0.809829914
113	0.124122233
114	0.410877198
115	4.283814123
116	1.29866523
117	0.797958072
118	0.205577908
119	0.797116652
120	9.035898188
121	1.16596989
122	0.347194279
123	0.299312792
124	0.398041661
125	2.307863487
126	0.456090932
127	1.150700254
128	0.283333196
129	4.696181936
130	0.248513295
131	0.128557282
132	0.093962727
133	0.505907354
134	2.498818675
