Reporter Identifier	VALUE
1	0.197483898
2	1.771367224
3	1.369660708
4	1.394807178
5	0.800210645
6	0.677141715
7	0.275246739
8	0.881066476
9	2.103845986
10	0.716668036
11	2.644726658
12	0.356591411
13	0.793185987
14	2.157768128
15	0.326373628
16	1.088350489
17	0.150613555
18	0.120177896
19	0.670797949
20	0.250074502
21	0.145490823
22	8.678621658
23	0.283579907
24	0.118933676
25	0.666683288
26	0.347952116
27	0.050602215
28	0.468303913
29	2.052818488
30	0.16114152
31	0.598772585
32	0.08262257
33	0.039228803
34	0.054020081
35	0.091751153
36	0.126064558
37	0.264114098
38	0.596804854
39	1.032215809
40	1.062288917
41	0.53693965
42	1.072149242
43	0.301424162
44	2.650606721
45	0.271940689
46	0.118616997
47	1.140599633
48	0.87509571
49	0.723461467
50	2.651108551
51	3.604193557
52	0.331671855
53	3.235712055
54	0.239506889
55	1.518265265
56	0.321282477
57	2.873522456
58	2.733438644
59	0.769971637
60	0.409144997
61	0.654885387
62	1.601819834
63	0.404888761
64	0.333046068
65	0.422214345
66	0.199440674
67	3.581882755
68	1.046159768
69	0.22612938
70	3.706382199
71	4.800365882
72	1.475753694
73	1.204350253
74	1.036419191
75	2.03265015
76	0.109834629
77	0.39771008
78	0.473107103
79	0.359360108
80	0.330138526
81	0.199641265
82	2.22228812
83	0.131175312
84	0.72074037
85	1.797165206
86	0.841627011
87	0.565225251
88	1.130172614
89	0.222049467
90	0.52470425
91	4.187459495
92	0.989542925
93	0.204860909
94	0.574343307
95	0.188214194
96	0.093639796
97	0.65384028
98	2.670857694
99	0.328140108
100	0.588362287
101	0.461984841
102	0.653542331
103	0.442520434
104	1.829571016
105	0.31111531
106	1.664717525
107	0.845560167
108	1.498834478
109	2.909041038
110	2.406913021
111	0.261219393
112	0.511894937
113	0.136656399
114	0.642018274
115	3.37424242
116	2.279350005
117	0.672495511
118	0.209750751
119	0.686611157
120	2.36330431
121	0.943129326
122	0.416319056
123	0.281380107
124	0.482003996
125	1.635120572
126	0.372413809
127	1.254150256
128	0.325380192
129	3.238887754
130	0.219590594
131	0.123953998
132	0.126020337
133	0.457243758
134	2.064781055
