Reporter Identifier	VALUE
1	0.710377704
2	1.793706056
3	1.497128691
4	1.499353961
5	0.896133097
6	1.008831504
7	0.630795203
8	1.026336059
9	2.004478753
10	1.188577916
11	3.727581772
12	0.25411846
13	0.856042803
14	2.170596297
15	0.263045727
16	2.36624913
17	0.093576888
18	0.10890337
19	0.665735875
20	0.292963136
21	0.084077342
22	8.331901098
23	0.153201247
24	0.138106049
25	0.620283539
26	0.655569015
27	0.041513689
28	0.874728069
29	4.540741643
30	0.122804125
31	0.522607947
32	0.072725573
33	0.040875637
34	0.047944613
35	0.077998193
36	0.11453864
37	0.456629489
38	0.766557812
39	1.45711895
40	0.827071862
41	0.835554042
42	4.825099729
43	0.29306347
44	2.555351315
45	0.231247707
46	0.091910016
47	0.795782675
48	0.940730907
49	0.918360864
50	1.954587839
51	4.358726825
52	0.328914521
53	4.973440749
54	0.141142368
55	5.167583901
56	0.375455082
57	3.049489115
58	2.594623185
59	0.676542068
60	0.10903701
61	0.674082574
62	0.865268609
63	0.257478103
64	0.420045485
65	0.326064905
66	0.124431028
67	4.840014211
68	8.128036689
69	0.222328354
70	3.972722218
71	5.515334625
72	1.425963197
73	0.958817062
74	1.27197782
75	2.201859597
76	0.152407878
77	0.609458602
78	0.556450898
79	0.347579639
80	0.319864684
81	0.163730416
82	2.788017325
83	0.122046959
84	0.873738192
85	2.966141192
86	0.940896792
87	0.290320932
88	0.927919448
89	0.390290256
90	0.465053157
91	3.527567347
92	1.436092057
93	0.121878161
94	0.519675329
95	0.154218195
96	0.088411342
97	0.753835519
98	2.780238371
99	0.285157078
100	0.7076775
101	0.459453818
102	0.56314138
103	16.94376793
104	4.444492231
105	0.258223677
106	2.050701918
107	1.254604999
108	1.133427095
109	1.992055139
110	4.110826306
111	0.329468113
112	0.461217636
113	0.12219995
114	0.447509342
115	5.300910613
116	2.290992961
117	0.784626834
118	0.18873026
119	1.324085798
120	1.284285639
121	1.793325399
122	0.171546276
123	0.270729012
124	0.473761565
125	2.651195659
126	0.488100448
127	1.445458544
128	0.22813987
129	3.7706415
130	0.21628561
131	0.10353684
132	0.089954602
133	0.427767347
134	3.825661271
