Reporter Identifier	VALUE
1	0.175345917
2	2.122110311
3	1.410386626
4	1.549917615
5	0.928113963
6	1.06448041
7	0.32652699
8	0.903110201
9	0.324386475
10	0.302515149
11	2.052280403
12	0.352533096
13	0.800449691
14	0.313971681
15	0.255884159
16	2.892778475
17	0.102529587
18	0.139739127
19	0.804491259
20	0.374795135
21	0.196638031
22	1.880919226
23	0.091305331
24	0.130810029
25	1.508380562
26	3.285052643
27	0.062444877
28	2.401017877
29	3.944393271
30	0.145511177
31	0.7608017
32	0.10292571
33	3.338288984
34	0.044509407
35	0.084825017
36	0.166234815
37	0.232307867
38	0.415262046
39	1.220401743
40	3.875288155
41	0.797877471
42	5.875170342
43	0.289101656
44	0.34734814
45	0.270433908
46	0.090446254
47	1.835876146
48	0.914102573
49	0.51826585
50	1.914342057
51	2.341523388
52	0.49944753
53	5.420367439
54	0.140933988
55	0.78028
56	0.198169541
57	1.034002961
58	2.033097133
59	0.707390611
60	0.096151302
61	0.290537629
62	0.187701611
63	0.35183249
64	0.264957022
65	0.372359143
66	0.158056236
67	3.62845531
68	2.128458358
69	0.207534633
70	3.995597159
71	5.618030034
72	1.272266102
73	2.37181354
74	2.145541331
75	3.015858952
76	0.092584124
77	0.404084602
78	0.524512105
79	0.433737951
80	0.444755009
81	0.210460733
82	1.966963913
83	0.118430626
84	0.394009653
85	3.022349028
86	0.987466471
87	0.453192093
88	1.186396582
89	0.610021897
90	0.399029879
91	2.137407452
92	1.346713048
93	0.155865009
94	0.471776532
95	0.183605626
96	0.238420282
97	0.862070197
98	1.379982081
99	0.240621529
100	0.846328415
101	1.426223524
102	3.104647543
103	0.071499293
104	1.623745345
105	0.376907899
106	6.217885879
107	2.780706851
108	1.554962295
109	2.902123459
110	4.780457892
111	0.249134471
112	0.793862155
113	0.136067217
114	0.443369131
115	3.875395565
116	0.946389202
117	0.817943546
118	0.218501378
119	0.977688352
120	1.456275747
121	2.241108568
122	0.217252883
123	0.419128145
124	0.287481068
125	2.522861622
126	0.210200599
127	1.08326571
128	0.32190214
129	4.074176355
130	0.215490857
131	0.10259582
132	0.078945074
133	0.373012486
134	2.439303531
