Reporter Identifier	VALUE
1	0.183627929
2	1.999832057
3	2.10316005
4	1.635520554
5	1.044361216
6	0.962516124
7	0.374404536
8	1.123028748
9	2.351017841
10	1.368439725
11	0.911998268
12	0.233760965
13	0.468338749
14	1.915009269
15	0.207527835
16	0.794310889
17	0.105159657
18	0.120028177
19	0.67128005
20	0.316589018
21	0.182585703
22	1.989577354
23	0.578851731
24	0.200239565
25	1.117695905
26	1.005722815
27	0.040159551
28	0.876215109
29	2.509554202
30	0.158452005
31	0.645699359
32	0.125401896
33	0.03119248
34	0.046449487
35	0.067171688
36	0.114299072
37	0.42415638
38	0.813520187
39	1.128629725
40	0.565173519
41	0.954786592
42	2.530075308
43	0.288007783
44	1.008006005
45	0.220980055
46	0.119177001
47	0.703444664
48	0.997257635
49	0.673482999
50	1.567095866
51	4.85612284
52	0.385459244
53	4.322097886
54	0.134157324
55	3.853144793
56	0.446479711
57	2.333903505
58	2.809537573
59	0.958628215
60	0.122928879
61	0.881888163
62	0.671965272
63	0.486333765
64	0.214088224
65	0.423529492
66	0.228192247
67	3.179196326
68	1.187301376
69	0.254545004
70	3.71549625
71	5.217697023
72	1.319806977
73	0.587914458
74	1.106497689
75	2.135741958
76	0.156033928
77	0.672709909
78	0.450206673
79	0.313225782
80	0.396006096
81	0.175660284
82	1.996680518
83	0.100314697
84	0.6946621
85	2.305761358
86	0.817489244
87	0.582171042
88	1.087746816
89	0.346144129
90	0.554066083
91	2.222388374
92	1.113148536
93	0.106404789
94	0.477568285
95	0.163537054
96	0.162112711
97	0.799198279
98	2.286840255
99	0.29269224
100	0.690104056
101	0.399931337
102	0.301317419
103	1.978978154
104	0.944565676
105	0.293852627
106	2.091545471
107	1.583696599
108	2.207012686
109	3.492755678
110	3.01489295
111	0.246185556
112	0.572463786
113	0.102779571
114	0.224233949
115	2.241862222
116	1.019372879
117	0.992119961
118	0.312065941
119	1.162664567
120	1.143323345
121	1.252671653
122	0.168644742
123	0.275495674
124	0.337388409
125	2.684091321
126	0.516323887
127	1.312128737
128	0.260202368
129	2.871662388
130	0.240732711
131	0.125001521
132	0.106697658
133	0.478315898
134	2.29721673
